name,share1,industry,share2
台泥,0.51%,水泥工業,0.98%
亞泥,0.47%,水泥工業,0.98%
統一,1.41%,食品工業,1.41%
台塑,3.79%,塑膠工業,9.67%
南亞塑膠,3.16%,塑膠工業,9.67%
台化,2.72%,塑膠工業,9.67%
遠東新,1.29%,紡織纖維,1.29%
中鋼,2.98%,鋼鐵工業,2.98%
正新,0.56%,橡膠工業,0.56%
奇美電子,1.12%,電子工業,1.12%
長榮海運,0.25%,航運業,0.25%
彰化銀行,0.51%,金融保險業,14.82%
華南金,0.87%,金融保險業,14.82%
富邦金,2.20%,金融保險業,14.82%
國泰金,2.67%,金融保險業,14.82%
開發金,1.01%,金融保險業,14.82%
元大金,1.31%,金融保險業,14.82%
兆豐金,1.43%,金融保險業,14.82%
新光金,0.64%,金融保險業,14.82%
永豐金控,0.83%,金融保險業,14.82%
中信金,1.72%,金融保險業,14.82%
第一金控,0.87%,金融保險業,14.82%
合庫,0.76%,金融保險業,14.82%
統一超,0.29%,貿易百貨,0.29%
寶成工業,0.67%,其他,0.67%
台肥,0.77%,化學工業,0.77%
台塑石化,1.44%,油電燃氣業,1.44%
聯電,1.54%,半導體業,23.84%
日月光,1.09%,半導體業,23.84%
矽品,1.24%,半導體業,23.84%
台積電,15.28%,半導體業,23.84%
聯發科,4.20%,半導體業,23.84%
華亞科,0.49%,半導體業,23.84%
光寶科技,0.99%,電腦及週邊設備業,9.64%
仁寶電腦,1.62%,電腦及週邊設備業,9.64%
宏碁,2.36%,電腦及週邊設備業,9.64%
華碩,2.42%,電腦及週邊設備業,9.64%
廣達,1.19%,電腦及週邊設備業,9.64%
緯創,1.06%,電腦及週邊設備業,9.64%
友達,3.13%,光電業,4.55%
群創光電,1.42%,光電業,4.55%
中華電,2.86%,通信網路業,7.12%
宏達電,2.68%,通信網路業,7.12%
台灣大,1.02%,通信網路業,7.12%
遠傳,0.56%,通信網路業,7.12%
台達電,1.55%,電子零組件業,1.83%
南電,0.28%,電子零組件業,1.83%
聯強國際,0.85%,電子通路業,0.85%
鴻海,11.88%,其他電子業,12.98%
鴻準,1.10%,其他電子業,12.98%
