name,share1,industry,share2
台泥,1.22%,水泥工業,1.99%
亞泥,0.77%,水泥工業,1.99%
統一,2.20%,食品工業,2.20%
台塑,4.08%,塑膠工業,10.52%
南亞塑膠,3.73%,塑膠工業,10.52%
台化,2.71%,塑膠工業,10.52%
遠東新,1.06%,紡織纖維,1.06%
中鋼,2.66%,鋼鐵工業,2.66%
正新,1.35%,橡膠工業,1.35%
裕隆汽車,0.55%,汽車工業,1.36%
和泰汽車,0.81%,汽車工業,1.36%
F-晨星,0.74%,電子工業,0.74%
彰銀,0.57%,金融保險業,14.03%
華南金,0.92%,金融保險業,14.03%
富邦金,2.13%,金融保險業,14.03%
國泰金,2.19%,金融保險業,14.03%
開發金,0.93%,金融保險業,14.03%
元大金,1.27%,金融保險業,14.03%
兆豐金,1.66%,金融保險業,14.03%
永豐金,0.79%,金融保險業,14.03%
中信金,1.81%,金融保險業,14.03%
第一金,0.91%,金融保險業,14.03%
合庫金,0.85%,金融保險業,14.03%
統一超,1.03%,貿易百貨,1.03%
台肥,0.47%,化學工業,0.47%
台塑石化,1.38%,油電燃氣業,1.38%
聯電,1.29%,半導體業,28.65%
日月光,1.64%,半導體業,28.65%
矽品,0.82%,半導體業,28.65%
台積電,21.20%,半導體業,28.65%
聯發科,3.70%,半導體業,28.65%
光寶科技,0.75%,電腦及週邊設備業,6.39%
仁寶電腦,0.73%,電腦及週邊設備業,6.39%
宏碁,0.61%,電腦及週邊設備業,6.39%
華碩,2.08%,電腦及週邊設備業,6.39%
廣達,1.67%,電腦及週邊設備業,6.39%
緯創,0.55%,電腦及週邊設備業,6.39%
友達,0.97%,光電業,3.61%
大立光,0.66%,光電業,3.61%
群創光電,0.97%,光電業,3.61%
TPK-KY,1.01%,光電業,3.61%
中華電,3.05%,通信網路業,7.74%
宏達電,2.17%,通信網路業,7.74%
台灣大,1.52%,通信網路業,7.74%
遠傳,1.00%,通信網路業,7.74%
台達電,2.18%,電子零組件業,2.18%
聯強國際,0.72%,電子通路業,0.72%
鴻海,8.92%,其他電子業,10.79%
鴻準,0.95%,其他電子業,10.79%
可成科技,0.92%,其他電子業,10.79%
