name,share1,industry,share2
台泥,1.11%,水泥工業,1.85%
亞泥,0.74%,水泥工業,1.85%
統一,2.09%,食品工業,2.09%
台塑,4.24%,塑膠工業,10.83%
南亞塑膠,3.81%,塑膠工業,10.83%
台化,2.78%,塑膠工業,10.83%
遠東新,1.03%,紡織纖維,1.03%
中鋼,2.53%,鋼鐵工業,2.53%
正新,1.34%,橡膠工業,1.34%
裕隆汽車,0.57%,汽車工業,1.28%
和泰汽車,0.71%,汽車工業,1.28%
F-晨星,0.78%,電子工業,0.78%
彰化銀行,0.55%,金融保險業,13.50%
華南金,0.88%,金融保險業,13.50%
富邦金,1.88%,金融保險業,13.50%
國泰金,2.14%,金融保險業,13.50%
開發金,0.87%,金融保險業,13.50%
元大金,1.27%,金融保險業,13.50%
兆豐金,1.62%,金融保險業,13.50%
永豐金,0.77%,金融保險業,13.50%
中信金,1.82%,金融保險業,13.50%
第一金,0.91%,金融保險業,13.50%
合庫金,0.79%,金融保險業,13.50%
統一超,1.01%,貿易百貨,1.01%
台肥,0.48%,化學工業,0.48%
台塑石化,1.38%,油電燃氣業,1.38%
聯電,1.31%,半導體業,26.13%
日月光,1.43%,半導體業,26.13%
矽品,0.84%,半導體業,26.13%
台積電,19.10%,半導體業,26.13%
聯發科,3.45%,半導體業,26.13%
光寶科技,0.72%,電腦及週邊設備業,6.81%
仁寶電腦,0.96%,電腦及週邊設備業,6.81%
宏碁,0.67%,電腦及週邊設備業,6.81%
華碩,1.98%,電腦及週邊設備業,6.81%
廣達,1.85%,電腦及週邊設備業,6.81%
緯創,0.63%,電腦及週邊設備業,6.81%
友達,0.77%,光電業,2.64%
大立光,0.50%,光電業,2.64%
群創光電,0.63%,光電業,2.64%
TPK-KY,0.74%,光電業,2.64%
中華電,2.95%,通信網路業,7.39%
宏達電,2.00%,通信網路業,7.39%
台灣大,1.48%,通信網路業,7.39%
遠傳,0.96%,通信網路業,7.39%
台達電,2.23%,電子零組件業,2.23%
聯強國際,0.86%,電子通路業,0.86%
鴻海,8.99%,其他電子業,11.01%
鴻準,1.16%,其他電子業,11.01%
可成科技,0.86%,其他電子業,11.01%
