name,share1,industry,share2
台泥,0.68%,水泥工業,1.05%
亞泥,0.37%,水泥工業,1.05%
統一,1.77%,食品工業,1.77%
台塑,2.74%,塑膠工業,7.30%
南亞塑膠,2.58%,塑膠工業,7.30%
台化,1.98%,塑膠工業,7.30%
遠東新,0.59%,紡織纖維,0.59%
中鋼,1.86%,鋼鐵工業,1.86%
正新,0.72%,橡膠工業,0.72%
和泰汽車,0.93%,汽車工業,0.93%
台灣高鐵,0.32%,航運業,0.32%
彰銀,0.59%,金融保險業,16.47%
中壽,0.62%,金融保險業,16.47%
華南金,0.84%,金融保險業,16.47%
富邦金,2.16%,金融保險業,16.47%
國泰金,2.39%,金融保險業,16.47%
開發金,0.74%,金融保險業,16.47%
玉山金,1.02%,金融保險業,16.47%
元大金,0.93%,金融保險業,16.47%
兆豐金,1.67%,金融保險業,16.47%
台新金,0.76%,金融保險業,16.47%
永豐金,0.56%,金融保險業,16.47%
中信金,2.19%,金融保險業,16.47%
第一金,1.16%,金融保險業,16.47%
合庫金,0.84%,金融保險業,16.47%
統一超,0.93%,貿易百貨,0.93%
寶成工業,0.68%,其他,0.68%
台塑石化,0.87%,油電燃氣業,0.87%
聯電,1.06%,半導體業,36.20%
日月光,1.53%,半導體業,36.20%
矽品,0.66%,半導體業,36.20%
台積電,30.39%,半導體業,36.20%
南亞科,0.24%,半導體業,36.20%
聯發科,2.32%,半導體業,36.20%
光寶科技,0.64%,電腦及週邊設備業,5.17%
仁寶電腦,0.51%,電腦及週邊設備業,5.17%
華碩,1.23%,電腦及週邊設備業,5.17%
廣達,1.16%,電腦及週邊設備業,5.17%
研華,0.49%,電腦及週邊設備業,5.17%
和碩,1.14%,電腦及週邊設備業,5.17%
友達,0.74%,光電業,4.59%
大立光,3.02%,光電業,4.59%
群創光電,0.83%,光電業,4.59%
中華電,2.49%,通信網路業,4.35%
台灣大,1.11%,通信網路業,4.35%
遠傳,0.75%,通信網路業,4.35%
台達電,2.18%,電子零組件業,2.18%
鴻海,10.58%,其他電子業,12.82%
鴻準,0.61%,其他電子業,12.82%
可成科技,1.63%,其他電子業,12.82%
