name,share1,industry,share2
台泥,1.20%,水泥工業,1.94%
亞泥,0.74%,水泥工業,1.94%
統一,2.11%,食品工業,2.11%
台塑,3.27%,塑膠工業,9.40%
南亞塑膠,3.11%,塑膠工業,9.40%
台化,3.02%,塑膠工業,9.40%
遠東新,1.10%,紡織纖維,1.10%
中鋼,2.77%,鋼鐵工業,2.77%
正新,1.25%,橡膠工業,1.25%
裕隆汽車,0.37%,汽車工業,1.52%
和泰汽車,1.15%,汽車工業,1.52%
F-晨星,0.66%,電子工業,0.66%
彰化銀行,0.47%,金融保險業,17.34%
華南金,1.00%,金融保險業,17.34%
富邦金,2.60%,金融保險業,17.34%
國泰金,2.61%,金融保險業,17.34%
開發金,1.05%,金融保險業,17.34%
玉山金控,0.84%,金融保險業,17.34%
元大金,1.27%,金融保險業,17.34%
兆豐金,1.67%,金融保險業,17.34%
台新金控,0.85%,金融保險業,17.34%
永豐金控,0.90%,金融保險業,17.34%
中信金,2.19%,金融保險業,17.34%
第一金控,1.06%,金融保險業,17.34%
合庫金,0.83%,金融保險業,17.34%
統一超,1.05%,貿易百貨,1.05%
台肥,0.45%,化學工業,0.45%
台塑石化,1.29%,油電燃氣業,1.29%
聯電,1.35%,半導體業,28.83%
日月光,1.51%,半導體業,28.83%
矽品,0.89%,半導體業,28.83%
台積電,21.07%,半導體業,28.83%
聯發科,4.01%,半導體業,28.83%
光寶科技,0.93%,電腦及週邊設備業,5.30%
仁寶電腦,0.79%,電腦及週邊設備業,5.30%
華碩,1.47%,電腦及週邊設備業,5.30%
廣達,1.48%,電腦及週邊設備業,5.30%
和碩,0.63%,電腦及週邊設備業,5.30%
友達,0.84%,光電業,3.20%
大立光,0.88%,光電業,3.20%
群創光電,0.90%,光電業,3.20%
TPK-KY,0.58%,光電業,3.20%
中華電,3.15%,通信網路業,6.59%
宏達電,0.87%,通信網路業,6.59%
台灣大,1.54%,通信網路業,6.59%
遠傳,1.03%,通信網路業,6.59%
台達電,2.55%,電子零組件業,2.55%
鴻海,7.52%,其他電子業,9.19%
鴻準,0.68%,其他電子業,9.19%
可成科技,0.99%,其他電子業,9.19%
