name,share1,industry,share2
台泥,1.08%,水泥工業,1.80%
亞泥,0.72%,水泥工業,1.80%
統一,1.58%,食品工業,1.58%
台塑,4.51%,塑膠工業,12.07%
南亞塑膠,4.44%,塑膠工業,12.07%
台化,3.12%,塑膠工業,12.07%
遠東新,1.06%,紡織纖維,1.06%
台玻,0.48%,玻璃陶瓷,0.48%
中鋼,2.89%,鋼鐵工業,2.89%
正新,1.12%,橡膠工業,1.12%
裕隆汽車,0.56%,汽車工業,1.39%
和泰汽車,0.83%,汽車工業,1.39%
彰銀,0.56%,金融保險業,13.32%
華南金,0.88%,金融保險業,13.32%
富邦金,1.90%,金融保險業,13.32%
國泰金,2.23%,金融保險業,13.32%
開發金,0.86%,金融保險業,13.32%
元大金,1.30%,金融保險業,13.32%
兆豐金,1.51%,金融保險業,13.32%
永豐金,0.66%,金融保險業,13.32%
中信金,1.77%,金融保險業,13.32%
第一金,0.87%,金融保險業,13.32%
合庫金,0.78%,金融保險業,13.32%
統一超,1.08%,貿易百貨,1.08%
台肥,0.48%,化學工業,0.48%
台塑石化,1.48%,油電燃氣業,1.48%
聯電,1.59%,半導體業,25.53%
日月光,1.69%,半導體業,25.53%
矽品,0.95%,半導體業,25.53%
台積電,18.55%,半導體業,25.53%
聯發科,2.75%,半導體業,25.53%
光寶科技,0.70%,電腦及週邊設備業,7.29%
仁寶電腦,1.25%,電腦及週邊設備業,7.29%
宏碁,0.90%,電腦及週邊設備業,7.29%
華碩,1.78%,電腦及週邊設備業,7.29%
廣達,1.89%,電腦及週邊設備業,7.29%
緯創,0.77%,電腦及週邊設備業,7.29%
友達,1.01%,光電業,3.01%
大立光,0.50%,光電業,3.01%
群創光電,0.79%,光電業,3.01%
TPK-KY,0.71%,光電業,3.01%
中華電,2.93%,通信網路業,9.40%
宏達電,4.37%,通信網路業,9.40%
台灣大,1.28%,通信網路業,9.40%
遠傳,0.82%,通信網路業,9.40%
台達電,1.75%,電子零組件業,1.75%
聯強國際,0.96%,電子通路業,0.96%
鴻海,10.32%,其他電子業,12.81%
鴻準,1.21%,其他電子業,12.81%
可成科技,1.28%,其他電子業,12.81%
