name,share1,industry,share2
台泥,0.76%,水泥工業,1.27%
亞泥,0.51%,水泥工業,1.27%
統一,2.04%,食品工業,2.04%
台塑,2.93%,塑膠工業,8.46%
南亞塑膠,2.89%,塑膠工業,8.46%
台化,2.64%,塑膠工業,8.46%
遠東新,0.79%,紡織纖維,1.43%
儒鴻,0.64%,紡織纖維,1.43%
中鋼,2.09%,鋼鐵工業,2.09%
正新,0.90%,橡膠工業,0.90%
和泰汽車,1.09%,汽車工業,1.13%
裕隆日產,0.04%,汽車工業,1.13%
彰銀,0.66%,金融保險業,16.30%
華南金,0.89%,金融保險業,16.30%
富邦金,2.23%,金融保險業,16.30%
國泰金,2.29%,金融保險業,16.30%
開發金,0.91%,金融保險業,16.30%
玉山金,1.02%,金融保險業,16.30%
元大金,0.95%,金融保險業,16.30%
兆豐金,1.85%,金融保險業,16.30%
台新金,0.72%,金融保險業,16.30%
永豐金,0.70%,金融保險業,16.30%
中信金,2.14%,金融保險業,16.30%
第一金,1.08%,金融保險業,16.30%
合庫,0.86%,金融保險業,16.30%
統一超,0.99%,貿易百貨,0.99%
寶成工業,0.81%,其他,0.81%
台塑石化,1.31%,油電燃氣業,1.31%
聯電,1.19%,半導體業,36.19%
日月光,1.75%,半導體業,36.19%
矽品,0.86%,半導體業,36.19%
台積電,29.05%,半導體業,36.19%
南亞科,0.12%,半導體業,36.19%
聯發科,2.70%,半導體業,36.19%
華亞科,0.52%,半導體業,36.19%
光寶科技,0.63%,電腦及週邊設備業,4.95%
華碩,1.53%,電腦及週邊設備業,4.95%
廣達,1.11%,電腦及週邊設備業,4.95%
研華,0.60%,電腦及週邊設備業,4.95%
和碩,1.08%,電腦及週邊設備業,4.95%
友達,0.64%,光電業,3.34%
大立光,1.88%,光電業,3.34%
群創光電,0.82%,光電業,3.34%
中華電,3.12%,通信網路業,5.29%
台灣大,1.31%,通信網路業,5.29%
遠傳,0.86%,通信網路業,5.29%
台達電,2.32%,電子零組件業,2.32%
鴻海,8.64%,其他電子業,10.69%
鴻準,0.59%,其他電子業,10.69%
可成科技,1.46%,其他電子業,10.69%
