name,share1,industry,share2
統一,1.13%,食品工業,1.13%
台塑,3.21%,塑膠工業,8.77%
南亞塑膠,3.22%,塑膠工業,8.77%
台化,2.34%,塑膠工業,8.77%
遠東新,0.96%,紡織纖維,0.96%
中鋼,2.97%,鋼鐵工業,2.97%
奇美電子,1.48%,電子工業,1.77%
華寶通訊,0.29%,電子工業,1.77%
長榮海運,0.28%,航運業,0.28%
彰化銀行,0.85%,金融保險業,20.20%
華南金,1.12%,金融保險業,20.20%
富邦金,1.83%,金融保險業,20.20%
國泰金,3.48%,金融保險業,20.20%
開發金,1.65%,金融保險業,20.20%
玉山金控,0.58%,金融保險業,20.20%
兆豐金,2.08%,金融保險業,20.20%
台新金控,0.97%,金融保險業,20.20%
新光金,1.21%,金融保險業,20.20%
永豐金控,1.30%,金融保險業,20.20%
中信金,2.24%,金融保險業,20.20%
第一金控,1.15%,金融保險業,20.20%
合庫,0.85%,金融保險業,20.20%
元京證,0.89%,金融保險業,20.20%
寶成工業,0.93%,其他,0.93%
台塑石化,0.75%,油電燃氣業,0.75%
聯電,3.00%,半導體業,23.40%
日月光,1.31%,半導體業,23.40%
矽品,1.47%,半導體業,23.40%
台積電,13.55%,半導體業,23.40%
南亞科,0.55%,半導體業,23.40%
聯發科,2.54%,半導體業,23.40%
聯詠,0.60%,半導體業,23.40%
華亞科,0.38%,半導體業,23.40%
光寶科技,1.31%,電腦及週邊設備業,8.28%
仁寶電腦,1.14%,電腦及週邊設備業,8.28%
宏碁,1.65%,電腦及週邊設備業,8.28%
華碩,3.15%,電腦及週邊設備業,8.28%
廣達,1.03%,電腦及週邊設備業,8.28%
友達,3.55%,光電業,4.59%
華映,0.45%,光電業,4.59%
大立光,0.59%,光電業,4.59%
中華電,2.97%,通信網路業,7.43%
宏達電,2.92%,通信網路業,7.43%
台灣大,0.81%,通信網路業,7.43%
遠傳,0.73%,通信網路業,7.43%
台達電,1.61%,電子零組件業,2.17%
南電,0.56%,電子零組件業,2.17%
鴻海,12.45%,其他電子業,16.12%
鴻準,2.65%,其他電子業,16.12%
可成科技,1.02%,其他電子業,16.12%
