name,share1,industry,share2
台泥,1.23%,水泥工業,1.99%
亞泥,0.76%,水泥工業,1.99%
統一,1.91%,食品工業,1.91%
台塑,4.52%,塑膠工業,11.79%
南亞,4.22%,塑膠工業,11.79%
台化,3.05%,塑膠工業,11.79%
遠東新,1.22%,紡織纖維,1.22%
台玻,0.50%,玻璃陶瓷,0.50%
中鋼,3.08%,鋼鐵工業,3.08%
正新,1.15%,橡膠工業,1.15%
裕隆,0.58%,汽車工業,0.58%
彰銀,0.61%,金融保險業,14.86%
華南金,0.92%,金融保險業,14.86%
富邦金,2.04%,金融保險業,14.86%
國泰金,2.43%,金融保險業,14.86%
開發金,0.91%,金融保險業,14.86%
元大金,1.47%,金融保險業,14.86%
兆豐金,1.64%,金融保險業,14.86%
新光金,0.46%,金融保險業,14.86%
永豐金,0.64%,金融保險業,14.86%
中信金,1.92%,金融保險業,14.86%
第一金,0.97%,金融保險業,14.86%
合庫,0.85%,金融保險業,14.86%
統一超,1.22%,貿易百貨,1.22%
台肥,0.49%,化學工業,0.49%
台塑石化,1.69%,油電燃氣業,1.69%
聯電,1.56%,半導體業,24.64%
日月光,1.65%,半導體業,24.64%
矽品,0.80%,半導體業,24.64%
台積電,17.61%,半導體業,24.64%
聯發科,3.02%,半導體業,24.64%
光寶科技,0.74%,電腦及週邊設備業,6.94%
仁寶電腦,1.27%,電腦及週邊設備業,6.94%
宏碁,0.90%,電腦及週邊設備業,6.94%
華碩,1.54%,電腦及週邊設備業,6.94%
廣達,1.74%,電腦及週邊設備業,6.94%
緯創,0.75%,電腦及週邊設備業,6.94%
友達,1.08%,光電業,3.05%
大立光,0.54%,光電業,3.05%
群創光電,0.77%,光電業,3.05%
TPK-KY,0.66%,光電業,3.05%
中華電,3.60%,通信網路業,10.02%
宏達電,4.06%,通信網路業,10.02%
台灣大,1.50%,通信網路業,10.02%
遠傳,0.86%,通信網路業,10.02%
台達電,1.63%,電子零組件業,1.63%
聯強國際,1.07%,電子通路業,1.07%
鴻海,8.35%,其他電子業,10.38%
鴻準,1.07%,其他電子業,10.38%
可成科技,0.96%,其他電子業,10.38%
