name,share1,industry,share2
台泥,0.77%,水泥工業,1.24%
亞泥,0.47%,水泥工業,1.24%
統一,1.81%,食品工業,1.81%
台塑,2.93%,塑膠工業,8.38%
南亞塑膠,2.71%,塑膠工業,8.38%
台化,2.74%,塑膠工業,8.38%
遠東新,0.70%,紡織纖維,1.10%
儒鴻,0.40%,紡織纖維,1.10%
中鋼,2.07%,鋼鐵工業,2.07%
正新,0.76%,橡膠工業,0.76%
和泰汽車,0.96%,汽車工業,0.96%
彰銀,0.69%,金融保險業,17.30%
中壽,0.69%,金融保險業,17.30%
華南金,0.88%,金融保險業,17.30%
富邦金,2.37%,金融保險業,17.30%
國泰金,2.55%,金融保險業,17.30%
開發金,0.77%,金融保險業,17.30%
玉山金,1.01%,金融保險業,17.30%
元大金,0.97%,金融保險業,17.30%
兆豐金,1.75%,金融保險業,17.30%
台新金,0.75%,金融保險業,17.30%
永豐金,0.62%,金融保險業,17.30%
中信金,2.24%,金融保險業,17.30%
第一金,1.16%,金融保險業,17.30%
合庫金,0.85%,金融保險業,17.30%
統一超,0.93%,貿易百貨,0.93%
寶成工業,0.73%,其他,0.73%
台塑石化,1.00%,油電燃氣業,1.00%
聯電,0.96%,半導體業,35.50%
日月光,1.65%,半導體業,35.50%
矽品,0.72%,半導體業,35.50%
台積電,29.86%,半導體業,35.50%
南亞科,0.24%,半導體業,35.50%
聯發科,2.07%,半導體業,35.50%
光寶科技,0.74%,電腦及週邊設備業,5.46%
仁寶電腦,0.54%,電腦及週邊設備業,5.46%
華碩,1.40%,電腦及週邊設備業,5.46%
廣達,1.08%,電腦及週邊設備業,5.46%
研華,0.57%,電腦及週邊設備業,5.46%
和碩,1.13%,電腦及週邊設備業,5.46%
友達,0.69%,光電業,4.58%
大立光,3.17%,光電業,4.58%
群創光電,0.72%,光電業,4.58%
中華電,2.58%,通信網路業,4.53%
台灣大,1.17%,通信網路業,4.53%
遠傳,0.78%,通信網路業,4.53%
台達電,2.34%,電子零組件業,2.34%
鴻海,8.99%,其他電子業,11.12%
鴻準,0.67%,其他電子業,11.12%
可成科技,1.46%,其他電子業,11.12%
