name,share1,industry,share2
台泥,0.70%,水泥工業,1.20%
亞泥,0.50%,水泥工業,1.20%
統一,2.11%,食品工業,2.11%
台塑,3.00%,塑膠工業,8.35%
南亞塑膠,2.77%,塑膠工業,8.35%
台化,2.58%,塑膠工業,8.35%
遠東新,0.82%,紡織纖維,1.53%
儒鴻,0.71%,紡織纖維,1.53%
中鋼,1.77%,鋼鐵工業,1.77%
正新,0.78%,橡膠工業,0.78%
和泰汽車,1.24%,汽車工業,1.29%
裕隆日產,0.05%,汽車工業,1.29%
彰銀,0.66%,金融保險業,17.64%
華南金,0.90%,金融保險業,17.64%
富邦金,2.60%,金融保險業,17.64%
國泰金,2.92%,金融保險業,17.64%
開發金,0.92%,金融保險業,17.64%
玉山金,1.15%,金融保險業,17.64%
元大金,0.99%,金融保險業,17.64%
兆豐金,1.82%,金融保險業,17.64%
台新金,0.76%,金融保險業,17.64%
永豐金,0.70%,金融保險業,17.64%
中信金,2.25%,金融保險業,17.64%
第一金,1.10%,金融保險業,17.64%
合庫,0.87%,金融保險業,17.64%
統一超,0.92%,貿易百貨,0.92%
寶成工業,0.91%,其他,0.91%
台塑石化,1.19%,油電燃氣業,1.19%
聯電,1.15%,半導體業,34.73%
日月光,1.88%,半導體業,34.73%
矽品,0.92%,半導體業,34.73%
台積電,27.23%,半導體業,34.73%
南亞科,0.13%,半導體業,34.73%
聯發科,2.90%,半導體業,34.73%
華亞科,0.52%,半導體業,34.73%
光寶科技,0.54%,電腦及週邊設備業,4.84%
華碩,1.52%,電腦及週邊設備業,4.84%
廣達,1.11%,電腦及週邊設備業,4.84%
研華,0.57%,電腦及週邊設備業,4.84%
和碩,1.10%,電腦及週邊設備業,4.84%
友達,0.68%,光電業,3.26%
大立光,1.81%,光電業,3.26%
群創光電,0.77%,光電業,3.26%
中華電,2.99%,通信網路業,5.18%
台灣大,1.33%,通信網路業,5.18%
遠傳,0.86%,通信網路業,5.18%
台達電,2.64%,電子零組件業,2.64%
鴻海,8.93%,其他電子業,11.15%
鴻準,0.60%,其他電子業,11.15%
可成科技,1.62%,其他電子業,11.15%
