name,share1,industry,share2
統一,0.92%,食品工業,0.92%
台塑,4.45%,塑膠工業,12.26%
南亞塑膠,4.28%,塑膠工業,12.26%
台化,3.53%,塑膠工業,12.26%
遠東新,1.10%,紡織纖維,1.10%
大同,0.91%,電機機械,0.91%
華新,0.85%,電器電纜,0.85%
中鋼,4.22%,鋼鐵工業,4.22%
裕隆汽車,0.62%,汽車工業,1.08%
中華汽車,0.46%,汽車工業,1.08%
奇美電子,2.02%,電子工業,2.86%
廣輝下市,0.84%,電子工業,2.86%
長榮海運,0.62%,航運業,1.41%
陽明海運,0.54%,航運業,1.41%
華航,0.25%,航運業,1.41%
彰化銀行,1.13%,金融保險業,25.23%
華南金,1.75%,金融保險業,25.23%
富邦金,3.20%,金融保險業,25.23%
國泰金,4.38%,金融保險業,25.23%
開發金,2.80%,金融保險業,25.23%
兆豐金,3.01%,金融保險業,25.23%
台新金控,1.93%,金融保險業,25.23%
新光金,0.62%,金融保險業,25.23%
永豐金控,1.15%,金融保險業,25.23%
中信金,3.52%,金融保險業,25.23%
第一金控,1.74%,金融保險業,25.23%
統一超,0.30%,貿易百貨,0.30%
寶成工業,0.94%,其他,0.94%
台塑石化,0.86%,油電燃氣業,0.86%
聯電,4.50%,半導體業,23.25%
日月光,1.15%,半導體業,23.25%
矽品,0.81%,半導體業,23.25%
台積電,12.51%,半導體業,23.25%
華邦電,0.75%,半導體業,23.25%
凌陽科技,0.52%,半導體業,23.25%
南亞科,0.83%,半導體業,23.25%
聯發科,2.18%,半導體業,23.25%
光寶科技,1.31%,電腦及週邊設備業,9.73%
仁寶電腦,1.93%,電腦及週邊設備業,9.73%
佳世達,1.01%,電腦及週邊設備業,9.73%
宏碁,1.63%,電腦及週邊設備業,9.73%
華碩,2.35%,電腦及週邊設備業,9.73%
廣達,1.50%,電腦及週邊設備業,9.73%
中環,0.91%,光電業,4.75%
友達,2.61%,光電業,4.75%
華映,1.23%,光電業,4.75%
中華電,1.80%,通信網路業,2.99%
台灣大,1.19%,通信網路業,2.99%
台達電,0.93%,電子零組件業,0.93%
鴻海,4.68%,其他電子業,4.68%
