name,share1,industry,share2
台泥,1.07%,水泥工業,1.76%
亞泥,0.69%,水泥工業,1.76%
統一,1.74%,食品工業,1.74%
台塑,2.89%,塑膠工業,8.39%
南亞塑膠,3.04%,塑膠工業,8.39%
台化,2.46%,塑膠工業,8.39%
遠東新,0.92%,紡織纖維,0.92%
中鋼,2.26%,鋼鐵工業,2.26%
正新,1.04%,橡膠工業,1.04%
和泰汽車,1.15%,汽車工業,1.22%
裕隆日產,0.07%,汽車工業,1.22%
彰銀,0.43%,金融保險業,16.56%
華南金,0.94%,金融保險業,16.56%
富邦金,2.32%,金融保險業,16.56%
國泰金,2.61%,金融保險業,16.56%
開發金,1.03%,金融保險業,16.56%
玉山金,0.83%,金融保險業,16.56%
元大金,1.15%,金融保險業,16.56%
兆豐金,1.84%,金融保險業,16.56%
台新金,0.85%,金融保險業,16.56%
永豐金,0.75%,金融保險業,16.56%
中信金,2.10%,金融保險業,16.56%
第一金,0.97%,金融保險業,16.56%
合庫金,0.74%,金融保險業,16.56%
統一超,0.99%,貿易百貨,0.99%
寶成工業,0.70%,其他,0.70%
台塑石化,1.09%,油電燃氣業,1.09%
聯電,1.32%,半導體業,33.08%
日月光,1.77%,半導體業,33.08%
矽品,1.07%,半導體業,33.08%
台積電,22.45%,半導體業,33.08%
聯發科,5.45%,半導體業,33.08%
華亞科,1.02%,半導體業,33.08%
光寶科技,0.78%,電腦及週邊設備業,6.28%
仁寶電腦,0.75%,電腦及週邊設備業,6.28%
華碩,1.76%,電腦及週邊設備業,6.28%
廣達,1.70%,電腦及週邊設備業,6.28%
研華,0.58%,電腦及週邊設備業,6.28%
和碩,0.71%,電腦及週邊設備業,6.28%
友達,0.81%,光電業,3.44%
大立光,1.77%,光電業,3.44%
群創光電,0.86%,光電業,3.44%
中華電,2.71%,通信網路業,5.43%
宏達電,0.77%,通信網路業,5.43%
台灣大,1.15%,通信網路業,5.43%
遠傳,0.80%,通信網路業,5.43%
台達電,3.27%,電子零組件業,3.27%
鴻海,8.38%,其他電子業,10.41%
鴻準,0.54%,其他電子業,10.41%
可成科技,1.49%,其他電子業,10.41%
