name,share1,industry,share2
台泥,0.93%,水泥工業,1.52%
亞泥,0.59%,水泥工業,1.52%
統一,1.46%,食品工業,1.46%
台塑,4.71%,塑膠工業,12.53%
南亞塑膠,4.51%,塑膠工業,12.53%
台化,3.31%,塑膠工業,12.53%
遠東新,1.39%,紡織纖維,1.39%
中鋼,2.68%,鋼鐵工業,2.68%
正新,0.53%,橡膠工業,0.53%
彰化銀行,0.74%,金融保險業,15.85%
華南金,0.95%,金融保險業,15.85%
富邦金,2.02%,金融保險業,15.85%
國泰金,3.13%,金融保險業,15.85%
開發金,1.15%,金融保險業,15.85%
元大金,1.39%,金融保險業,15.85%
兆豐金,1.48%,金融保險業,15.85%
新光金,0.63%,金融保險業,15.85%
永豐金控,0.74%,金融保險業,15.85%
中信金,1.69%,金融保險業,15.85%
第一金控,1.03%,金融保險業,15.85%
合庫,0.90%,金融保險業,15.85%
統一超,0.83%,貿易百貨,0.83%
寶成工業,0.62%,其他,0.62%
台肥,0.63%,化學工業,0.63%
台塑石化,1.48%,油電燃氣業,1.48%
聯電,1.67%,半導體業,22.01%
日月光,1.20%,半導體業,22.01%
矽品,0.86%,半導體業,22.01%
台積電,14.43%,半導體業,22.01%
聯發科,3.60%,半導體業,22.01%
華亞科,0.25%,半導體業,22.01%
光寶科技,0.71%,電腦及週邊設備業,8.19%
仁寶電腦,1.35%,電腦及週邊設備業,8.19%
宏碁,1.90%,電腦及週邊設備業,8.19%
華碩,1.37%,電腦及週邊設備業,8.19%
廣達,1.39%,電腦及週邊設備業,8.19%
緯創,0.91%,電腦及週邊設備業,8.19%
和碩,0.56%,電腦及週邊設備業,8.19%
友達,2.09%,光電業,4.95%
晶電,0.71%,光電業,4.95%
群創光電,2.15%,光電業,4.95%
中華電,2.78%,通信網路業,10.10%
宏達電,5.77%,通信網路業,10.10%
台灣大,1.02%,通信網路業,10.10%
遠傳,0.53%,通信網路業,10.10%
台達電,2.01%,電子零組件業,2.23%
南電,0.22%,電子零組件業,2.23%
聯強國際,0.93%,電子通路業,0.93%
鴻海,8.86%,其他電子業,9.88%
鴻準,1.02%,其他電子業,9.88%
