name,share1,industry,share2
台泥,0.88%,水泥工業,1.48%
亞泥,0.60%,水泥工業,1.48%
統一,1.79%,食品工業,1.79%
台塑,2.50%,塑膠工業,7.71%
南亞塑膠,2.91%,塑膠工業,7.71%
台化,2.30%,塑膠工業,7.71%
遠東新,0.91%,紡織纖維,0.91%
中鋼,2.16%,鋼鐵工業,2.16%
正新,0.89%,橡膠工業,0.89%
和泰汽車,1.26%,汽車工業,1.31%
裕隆日產,0.05%,汽車工業,1.31%
彰銀,0.43%,金融保險業,18.63%
華南金,0.87%,金融保險業,18.63%
富邦金,3.14%,金融保險業,18.63%
國泰金,3.01%,金融保險業,18.63%
開發金,1.17%,金融保險業,18.63%
玉山金,0.97%,金融保險業,18.63%
元大金,1.14%,金融保險業,18.63%
兆豐金,1.95%,金融保險業,18.63%
台新金,0.74%,金融保險業,18.63%
永豐金,0.85%,金融保險業,18.63%
中信金,2.53%,金融保險業,18.63%
第一金控,0.97%,金融保險業,18.63%
合庫,0.86%,金融保險業,18.63%
統一超,0.86%,貿易百貨,0.86%
寶成工業,0.82%,其他,0.82%
台塑石化,1.06%,油電燃氣業,1.06%
聯電,1.10%,半導體業,32.48%
日月光,1.82%,半導體業,32.48%
矽品,0.98%,半導體業,32.48%
台積電,23.67%,半導體業,32.48%
南亞科,0.13%,半導體業,32.48%
聯發科,4.34%,半導體業,32.48%
華亞科,0.44%,半導體業,32.48%
光寶科技,0.54%,電腦及週邊設備業,5.11%
華碩,1.49%,電腦及週邊設備業,5.11%
廣達,1.36%,電腦及週邊設備業,5.11%
研華,0.51%,電腦及週邊設備業,5.11%
和碩,1.21%,電腦及週邊設備業,5.11%
友達,0.85%,光電業,4.45%
大立光,2.49%,光電業,4.45%
群創光電,1.11%,光電業,4.45%
中華電,2.63%,通信網路業,5.07%
宏達電,0.38%,通信網路業,5.07%
台灣大,1.22%,通信網路業,5.07%
遠傳,0.84%,通信網路業,5.07%
台達電,2.26%,電子零組件業,2.26%
鴻海,8.66%,其他電子業,11.45%
鴻準,0.83%,其他電子業,11.45%
可成科技,1.96%,其他電子業,11.45%
