name,share1,industry,share2
台泥,0.45%,水泥工業,0.87%
亞泥,0.42%,水泥工業,0.87%
統一,1.10%,食品工業,1.10%
台塑,3.71%,塑膠工業,10.09%
南亞塑膠,3.66%,塑膠工業,10.09%
台化,2.72%,塑膠工業,10.09%
遠東新,0.96%,紡織纖維,0.96%
中鋼,3.19%,鋼鐵工業,3.19%
奇美電子,1.54%,電子工業,1.54%
彰化銀行,0.74%,金融保險業,17.86%
華南金,1.15%,金融保險業,17.86%
富邦金,1.78%,金融保險業,17.86%
國泰金,3.22%,金融保險業,17.86%
開發金,1.62%,金融保險業,17.86%
玉山金控,0.51%,金融保險業,17.86%
兆豐金,1.87%,金融保險業,17.86%
台新金控,0.86%,金融保險業,17.86%
新光金,1.01%,金融保險業,17.86%
永豐金控,1.11%,金融保險業,17.86%
中信金,2.12%,金融保險業,17.86%
第一金控,1.07%,金融保險業,17.86%
合庫,0.80%,金融保險業,17.86%
寶成工業,0.89%,其他,0.89%
台塑石化,0.76%,油電燃氣業,0.76%
聯電,2.82%,半導體業,23.94%
日月光,1.40%,半導體業,23.94%
矽品,1.78%,半導體業,23.94%
台積電,13.58%,半導體業,23.94%
南亞科,0.57%,半導體業,23.94%
聯發科,2.85%,半導體業,23.94%
聯詠,0.58%,半導體業,23.94%
華亞科,0.36%,半導體業,23.94%
光寶科技,1.27%,電腦及週邊設備業,7.52%
仁寶電腦,1.10%,電腦及週邊設備業,7.52%
宏碁,1.53%,電腦及週邊設備業,7.52%
華碩,2.74%,電腦及週邊設備業,7.52%
廣達,0.88%,電腦及週邊設備業,7.52%
友達,3.70%,光電業,6.43%
華映,0.41%,光電業,6.43%
大立光,0.45%,光電業,6.43%
群創光電,1.87%,光電業,6.43%
中華電,3.14%,通信網路業,7.03%
宏達電,2.30%,通信網路業,7.03%
台灣大,0.85%,通信網路業,7.03%
遠傳,0.74%,通信網路業,7.03%
台達電,1.63%,電子零組件業,2.17%
南電,0.54%,電子零組件業,2.17%
鴻海,11.85%,其他電子業,15.22%
鴻準,2.54%,其他電子業,15.22%
可成科技,0.83%,其他電子業,15.22%
