name,share1,industry,share2
台泥,0.84%,水泥工業,1.42%
亞泥,0.58%,水泥工業,1.42%
統一,2.15%,食品工業,2.15%
台塑,2.66%,塑膠工業,7.44%
南亞塑膠,2.48%,塑膠工業,7.44%
台化,2.30%,塑膠工業,7.44%
遠東新,0.92%,紡織纖維,1.72%
儒鴻,0.80%,紡織纖維,1.72%
中鋼,1.87%,鋼鐵工業,1.87%
正新,0.78%,橡膠工業,0.78%
和泰汽車,1.12%,汽車工業,1.17%
裕隆日產,0.05%,汽車工業,1.17%
彰銀,0.67%,金融保險業,17.68%
華南金,0.89%,金融保險業,17.68%
富邦金,2.91%,金融保險業,17.68%
國泰金,2.79%,金融保險業,17.68%
開發金,0.98%,金融保險業,17.68%
玉山金,1.14%,金融保險業,17.68%
元大金,0.95%,金融保險業,17.68%
兆豐金,1.78%,金融保險業,17.68%
台新金,0.77%,金融保險業,17.68%
永豐金,0.77%,金融保險業,17.68%
中信金,2.12%,金融保險業,17.68%
第一金,1.06%,金融保險業,17.68%
合庫金,0.85%,金融保險業,17.68%
統一超,0.90%,貿易百貨,0.90%
寶成工業,1.02%,其他,1.02%
台塑石化,1.16%,油電燃氣業,1.16%
聯電,1.01%,半導體業,31.25%
日月光,1.70%,半導體業,31.25%
矽品,0.95%,半導體業,31.25%
台積電,24.33%,半導體業,31.25%
南亞科,0.10%,半導體業,31.25%
聯發科,2.78%,半導體業,31.25%
華亞科,0.38%,半導體業,31.25%
光寶科技,0.50%,電腦及週邊設備業,5.03%
華碩,1.56%,電腦及週邊設備業,5.03%
廣達,1.18%,電腦及週邊設備業,5.03%
研華,0.60%,電腦及週邊設備業,5.03%
和碩,1.19%,電腦及週邊設備業,5.03%
友達,0.67%,光電業,3.46%
大立光,2.01%,光電業,3.46%
群創光電,0.78%,光電業,3.46%
中華電,2.94%,通信網路業,5.15%
台灣大,1.32%,通信網路業,5.15%
遠傳,0.89%,通信網路業,5.15%
台達電,2.44%,電子零組件業,2.44%
鴻海,9.31%,其他電子業,12.14%
鴻準,0.80%,其他電子業,12.14%
可成科技,2.03%,其他電子業,12.14%
