name,share1,industry,share2
台泥,0.52%,水泥工業,0.99%
亞泥,0.47%,水泥工業,0.99%
統一,0.95%,食品工業,0.95%
台塑,4.09%,塑膠工業,10.33%
南亞塑膠,3.55%,塑膠工業,10.33%
台化,2.69%,塑膠工業,10.33%
遠東新,0.94%,紡織纖維,0.94%
中鋼,2.84%,鋼鐵工業,2.84%
奇美電子,1.45%,電子工業,1.45%
彰化銀行,0.64%,金融保險業,16.60%
華南金,0.88%,金融保險業,16.60%
富邦金,1.49%,金融保險業,16.60%
國泰金,3.12%,金融保險業,16.60%
開發金,1.30%,金融保險業,16.60%
玉山金控,0.40%,金融保險業,16.60%
元大金,1.00%,金融保險業,16.60%
兆豐金,1.60%,金融保險業,16.60%
台新金控,0.76%,金融保險業,16.60%
新光金,1.09%,金融保險業,16.60%
永豐金控,0.96%,金融保險業,16.60%
中信金,1.77%,金融保險業,16.60%
第一金控,0.90%,金融保險業,16.60%
合庫,0.69%,金融保險業,16.60%
寶成工業,0.77%,其他,0.77%
台塑石化,0.71%,油電燃氣業,0.71%
聯電,2.43%,半導體業,25.87%
日月光,1.33%,半導體業,25.87%
矽品,1.73%,半導體業,25.87%
台積電,15.77%,半導體業,25.87%
南亞科,0.51%,半導體業,25.87%
聯發科,3.19%,半導體業,25.87%
聯詠,0.58%,半導體業,25.87%
華亞科,0.33%,半導體業,25.87%
光寶科技,1.06%,電腦及週邊設備業,6.93%
仁寶電腦,1.15%,電腦及週邊設備業,6.93%
宏碁,1.34%,電腦及週邊設備業,6.93%
華碩,2.64%,電腦及週邊設備業,6.93%
廣達,0.74%,電腦及週邊設備業,6.93%
友達,3.64%,光電業,6.70%
大立光,0.36%,光電業,6.70%
群創光電,2.70%,光電業,6.70%
中華電,2.55%,通信網路業,6.21%
宏達電,2.20%,通信網路業,6.21%
台灣大,0.80%,通信網路業,6.21%
遠傳,0.66%,通信網路業,6.21%
台達電,1.64%,電子零組件業,2.05%
南電,0.41%,電子零組件業,2.05%
鴻海,12.58%,其他電子業,15.60%
鴻準,2.21%,其他電子業,15.60%
可成科技,0.81%,其他電子業,15.60%
