name,share1,industry,share2
統一,1.01%,食品工業,1.01%
台塑,3.91%,塑膠工業,10.23%
南亞塑膠,3.56%,塑膠工業,10.23%
台化,2.76%,塑膠工業,10.23%
遠東新,0.85%,紡織纖維,0.85%
中鋼,3.73%,鋼鐵工業,3.73%
正新,0.35%,橡膠工業,0.35%
裕隆汽車,0.72%,汽車工業,1.41%
中華汽車,0.69%,汽車工業,1.41%
奇美電子,2.20%,電子工業,2.20%
長榮海運,0.55%,航運業,1.41%
陽明海運,0.59%,航運業,1.41%
華航,0.27%,航運業,1.41%
彰化銀行,1.15%,金融保險業,24.31%
華南金,1.60%,金融保險業,24.31%
富邦金,3.34%,金融保險業,24.31%
國泰金,3.83%,金融保險業,24.31%
開發金,3.37%,金融保險業,24.31%
兆豐金,3.02%,金融保險業,24.31%
台新金控,1.93%,金融保險業,24.31%
永豐金控,1.03%,金融保險業,24.31%
中信金,3.37%,金融保險業,24.31%
第一金控,1.67%,金融保險業,24.31%
統一超,0.33%,貿易百貨,0.33%
寶成工業,1.01%,其他,1.01%
台塑石化,0.74%,油電燃氣業,0.74%
聯電,5.54%,半導體業,27.48%
日月光,1.46%,半導體業,27.48%
矽品,0.97%,半導體業,27.48%
台積電,14.02%,半導體業,27.48%
華邦電,0.90%,半導體業,27.48%
威盛電子,0.59%,半導體業,27.48%
凌陽科技,0.71%,半導體業,27.48%
南亞科,0.76%,半導體業,27.48%
聯發科,2.53%,半導體業,27.48%
光寶科技,1.27%,電腦及週邊設備業,10.48%
仁寶電腦,2.08%,電腦及週邊設備業,10.48%
佳世達,1.05%,電腦及週邊設備業,10.48%
宏碁,1.64%,電腦及週邊設備業,10.48%
英業達,0.67%,電腦及週邊設備業,10.48%
華碩,2.10%,電腦及週邊設備業,10.48%
廣達,1.67%,電腦及週邊設備業,10.48%
中環,1.40%,光電業,6.77%
錸德科技,0.71%,光電業,6.77%
友達,3.21%,光電業,6.77%
華映,1.45%,光電業,6.77%
中華電,1.69%,通信網路業,2.77%
台灣大,1.08%,通信網路業,2.77%
台達電,0.72%,電子零組件業,0.72%
鴻海,4.17%,其他電子業,4.17%
