name,share1,industry,share2
台泥,1.11%,水泥工業,1.79%
亞泥,0.68%,水泥工業,1.79%
統一,1.65%,食品工業,1.65%
台塑,4.35%,塑膠工業,11.64%
南亞,4.41%,塑膠工業,11.64%
台化,2.88%,塑膠工業,11.64%
遠東新,1.05%,紡織纖維,1.05%
台玻,0.55%,玻璃陶瓷,0.55%
中鋼,3.07%,鋼鐵工業,3.07%
正新,1.08%,橡膠工業,1.08%
裕隆,0.61%,汽車工業,0.61%
彰銀,0.63%,金融保險業,14.75%
華南金,0.88%,金融保險業,14.75%
富邦金,1.96%,金融保險業,14.75%
國泰金,2.51%,金融保險業,14.75%
開發金,0.95%,金融保險業,14.75%
元大金,1.41%,金融保險業,14.75%
兆豐金,1.66%,金融保險業,14.75%
新光金,0.47%,金融保險業,14.75%
永豐金,0.66%,金融保險業,14.75%
中信金,1.77%,金融保險業,14.75%
第一金,1.04%,金融保險業,14.75%
合庫,0.81%,金融保險業,14.75%
統一超,1.23%,貿易百貨,1.23%
台肥,0.50%,化學工業,0.50%
台塑石化,1.45%,油電燃氣業,1.45%
聯電,1.35%,半導體業,22.82%
日月光,1.62%,半導體業,22.82%
矽品,0.87%,半導體業,22.82%
台積電,15.45%,半導體業,22.82%
聯發科,3.53%,半導體業,22.82%
光寶,0.59%,電腦及週邊設備業,6.45%
仁寶,1.14%,電腦及週邊設備業,6.45%
宏碁,0.93%,電腦及週邊設備業,6.45%
華碩,1.58%,電腦及週邊設備業,6.45%
廣達,1.56%,電腦及週邊設備業,6.45%
緯創,0.65%,電腦及週邊設備業,6.45%
友達,0.99%,光電業,3.33%
大立光,0.66%,光電業,3.33%
群創光電,0.75%,光電業,3.33%
TPK-KY,0.93%,光電業,3.33%
中華電,3.51%,通信網路業,10.82%
宏達電,5.38%,通信網路業,10.82%
台灣大,1.27%,通信網路業,10.82%
遠傳,0.66%,通信網路業,10.82%
台達電,1.57%,電子零組件業,1.57%
聯強,0.94%,電子通路業,0.94%
鴻海,6.70%,其他電子業,8.94%
鴻準,1.06%,其他電子業,8.94%
可成,1.18%,其他電子業,8.94%
