name,share1,industry,share2
統一,0.75%,食品工業,0.75%
台塑,4.26%,塑膠工業,11.20%
南亞塑膠,3.61%,塑膠工業,11.20%
台化,3.33%,塑膠工業,11.20%
遠東新,0.95%,紡織纖維,0.95%
大同,0.62%,電機機械,0.62%
華新,0.64%,電器電纜,0.64%
中鋼,3.51%,鋼鐵工業,3.51%
裕隆汽車,0.57%,汽車工業,0.89%
中華汽車,0.32%,汽車工業,0.89%
奇美電子,2.37%,電子工業,3.07%
廣輝下市,0.70%,電子工業,3.07%
長榮海運,0.51%,航運業,1.22%
陽明海運,0.47%,航運業,1.22%
華航,0.24%,航運業,1.22%
彰化銀行,0.95%,金融保險業,24.32%
華南金,1.53%,金融保險業,24.32%
富邦金,2.83%,金融保險業,24.32%
國泰金,4.00%,金融保險業,24.32%
開發金,2.08%,金融保險業,24.32%
玉山金控,0.83%,金融保險業,24.32%
兆豐金,2.63%,金融保險業,24.32%
台新金控,1.73%,金融保險業,24.32%
新光金,0.76%,金融保險業,24.32%
永豐金控,0.94%,金融保險業,24.32%
中信金,3.01%,金融保險業,24.32%
第一金控,1.61%,金融保險業,24.32%
合庫,0.36%,金融保險業,24.32%
元京證,1.06%,金融保險業,24.32%
寶成工業,0.80%,其他,0.80%
台塑石化,0.89%,油電燃氣業,0.89%
聯電,4.53%,半導體業,25.15%
日月光,1.08%,半導體業,25.15%
矽品,0.97%,半導體業,25.15%
台積電,15.01%,半導體業,25.15%
華邦電,0.54%,半導體業,25.15%
南亞科,0.66%,半導體業,25.15%
聯發科,2.36%,半導體業,25.15%
光寶科技,1.35%,電腦及週邊設備業,9.56%
仁寶電腦,1.55%,電腦及週邊設備業,9.56%
佳世達,0.83%,電腦及週邊設備業,9.56%
宏碁,1.94%,電腦及週邊設備業,9.56%
華碩,2.53%,電腦及週邊設備業,9.56%
廣達,1.36%,電腦及週邊設備業,9.56%
友達,2.91%,光電業,3.97%
華映,1.06%,光電業,3.97%
中華電,3.21%,通信網路業,4.31%
台灣大,1.10%,通信網路業,4.31%
台達電,0.92%,電子零組件業,0.92%
鴻海,5.90%,其他電子業,5.90%
