證券代碼,簡稱,年月日,收盤價(元)_週
2207,和泰車       ,20180105,352.5
2208,台船         ,20180105,12.65
2227,裕日車       ,20180105,272.5
2231,為升         ,20180105,282
2301,光寶科       ,20180105,39.9
2302,麗正         ,20180105,6.08
2303,聯電         ,20180105,14.55
2305,全友         ,20180105,9.96
2308,台達電       ,20180105,140.5
2311,日月光       ,20180105,38.9
2312,金寶         ,20180105,10.75
2313,華通         ,20180105,40.8
2314,台揚         ,20180105,32.7
2316,楠梓電       ,20180105,19.15
2317,鴻海         ,20180105,93
2321,東訊         ,20180105,3.47
2323,中環         ,20180105,4.37
2324,仁寶         ,20180105,21.1
2325,矽品         ,20180105,50
2327,國巨         ,20180105,404
2328,廣宇         ,20180105,26
2329,華泰         ,20180105,9.39
2330,台積電       ,20180105,240
2331,精英         ,20180105,19.6
2332,友訊         ,20180105,12.8
2337,旺宏         ,20180105,44
2338,光罩         ,20180105,18.95
2340,光磊         ,20180105,22.45
2342,茂矽         ,20180105,18.5
2344,華邦電       ,20180105,24.4
2345,智邦         ,20180105,121.5
2347,聯強         ,20180105,42.25
2348,海悅         ,20180105,28.15
2349,錸德         ,20180105,4.71
2351,順德         ,20180105,92
2352,佳世達       ,20180105,21.3
2353,宏碁         ,20180105,24.3
2354,鴻準         ,20180105,85.3
2355,敬鵬         ,20180105,58.1
2356,英業達       ,20180105,24.2
2357,華碩         ,20180105,272
2358,廷鑫         ,20180105,23.3
2359,所羅門       ,20180105,27.55
2360,致茂         ,20180105,165.5
2362,藍天         ,20180105,28.65
2363,矽統         ,20180105,9.36
2364,倫飛         ,20180105,2.38
2365,昆盈         ,20180105,10.45
2367,燿華         ,20180105,24.95
2368,金像電       ,20180105,10.75
2369,菱生         ,20180105,15.45
2371,大同         ,20180105,20.55
2373,震旦行       ,20180105,87.7
2374,佳能         ,20180105,21.25
2375,智寶         ,20180105,53
2376,技嘉         ,20180105,58.2
2377,微星         ,20180105,88.6
2379,瑞昱         ,20180105,112.5
2380,虹光         ,20180105,7.04
2382,廣達         ,20180105,61.8
2383,台光電       ,20180105,102.5
2385,群光         ,20180105,74.4
2387,精元         ,20180105,17.45
2388,威盛         ,20180105,10.7
2390,云辰         ,20180105,12.55
2392,正崴         ,20180105,49.7
2393,億光         ,20180105,45.25
2395,研華         ,20180105,216
2397,友通         ,20180105,59.5
2399,映泰         ,20180105,13.95
2401,凌陽         ,20180105,16.95
2402,毅嘉         ,20180105,16.9
2404,漢唐         ,20180105,60.2
2405,浩鑫         ,20180105,20.75
2406,國碩         ,20180105,16.7
2408,南亞科       ,20180105,83.5
2409,友達         ,20180105,12.5
2412,中華電       ,20180105,108.5
2413,環科         ,20180105,22.9
2414,精技         ,20180105,19.9
2415,錩新         ,20180105,27.1
2417,圓剛         ,20180105,14.1
2419,仲琦         ,20180105,22.15
2420,新巨         ,20180105,35.55
2421,建準         ,20180105,52.3
2423,固緯         ,20180105,23.7
2424,隴華         ,20180105,35.85
2425,承啟         ,20180105,15.3
2426,鼎元         ,20180105,17
2427,三商電       ,20180105,10.25
2428,興勤         ,20180105,86.4
2429,銘旺科       ,20180105,11.15
2430,燦坤         ,20180105,24.15
2431,聯昌         ,20180105,15.8
2433,互盛電       ,20180105,43.95
2434,統懋         ,20180105,9.13
2436,偉詮電       ,20180105,30.85
2438,翔耀         ,20180105,7.08
2439,美律         ,20180105,196
2440,太空梭       ,20180105,10.4
2441,超豐         ,20180105,52.8
2442,新美齊       ,20180105,8.23
2443,新利虹       ,20180105,6.21
2444,友旺         ,20180105,37.25
2448,晶電         ,20180105,50.2
2449,京元電子     ,20180105,30.3
2450,神腦         ,20180105,51.7
2451,創見         ,20180105,83.2
2453,凌群         ,20180105,14.8
2454,聯發科       ,20180105,300
2455,全新         ,20180105,99
2456,奇力新       ,20180105,108.5
2457,飛宏         ,20180105,14.45
2458,義隆         ,20180105,45.9
2459,敦吉         ,20180105,43.4
2460,建通         ,20180105,18.6
2461,光群雷       ,20180105,16.85
2462,良得電       ,20180105,31
2464,盟立         ,20180105,46.6
2465,麗臺         ,20180105,19.7
2466,冠西電       ,20180105,34.75
2467,志聖         ,20180105,28.8
2468,華經         ,20180105,11.3
2471,資通         ,20180105,14.95
2472,立隆電       ,20180105,64
2474,可成         ,20180105,335
2475,華映         ,20180105,2.34
2476,鉅祥         ,20180105,27.4
2477,美隆電       ,20180105,29.7
2478,大毅         ,20180105,38.1
2480,敦陽科       ,20180105,37.15
2481,強茂         ,20180105,36.15
2482,連宇         ,20180105,12.3
2483,百容         ,20180105,25.75
2484,希華         ,20180105,23.2
2485,兆赫         ,20180105,31.7
2486,一詮         ,20180105,11.65
2488,漢平         ,20180105,30.3
2489,瑞軒         ,20180105,16.6
2491,吉祥全       ,20180105,6.92
2492,華新科       ,20180105,116
2493,揚博         ,20180105,26.55
2495,普安         ,20180105,14.4
2496,卓越         ,20180105,195.5
2497,怡利電       ,20180105,29.45
2498,宏達電       ,20180105,75.2
2499,東貝         ,20180105,11.9
2501,國建         ,20180105,16.55
2504,國產         ,20180105,9.64
2505,國揚         ,20180105,16.8
2506,太設         ,20180105,10.7
2509,全坤建       ,20180105,21.6
2511,太子         ,20180105,12.1
2514,龍邦         ,20180105,15.25
2515,中工         ,20180105,8.09
2516,新建         ,20180105,7.18
2520,冠德         ,20180105,22.05
2524,京城         ,20180105,23.15
2527,宏璟         ,20180105,25.6
2528,皇普         ,20180105,19.05
2530,華建         ,20180105,15.1
2534,宏盛         ,20180105,26.85
2535,達欣工       ,20180105,18.3
2536,宏普         ,20180105,21.8
2537,聯上發       ,20180105,8.35
2538,基泰         ,20180105,10.55
2539,櫻花建       ,20180105,28.5
2540,愛山林       ,20180105,20.9
2542,興富發       ,20180105,43.1
2543,皇昌         ,20180105,8.35
2545,皇翔         ,20180105,31.35
2546,根基         ,20180105,21.45
2547,日勝生       ,20180105,13
2548,華固         ,20180105,70.2
2597,潤弘         ,20180105,38.05
2601,益航         ,20180105,9.25
2603,長榮         ,20180105,18.7
2605,新興         ,20180105,21.3
2606,裕民         ,20180105,37.8
2607,榮運         ,20180105,14.25
2608,大榮         ,20180105,38.6
2609,陽明         ,20180105,12.3
2610,華航         ,20180105,12.5
2611,志信         ,20180105,7.03
2612,中航         ,20180105,29.9
2613,中櫃         ,20180105,13
2614,東森         ,20180105,10.95
2615,萬海         ,20180105,19.75
2616,山隆         ,20180105,33.55
2617,台航         ,20180105,16.8
2618,長榮航       ,20180105,16.2
2637,慧洋-KY      ,20180105,29.05
2701,萬企         ,20180105,13.8
2702,華園         ,20180105,14.95
2704,國賓         ,20180105,23.2
2705,六福         ,20180105,8.11
2706,第一店       ,20180105,15.75
2707,晶華         ,20180105,155
2722,夏都         ,20180105,35.05
2723,美食-KY      ,20180105,404
2727,王品         ,20180105,135
2801,彰銀         ,20180105,16.8
2809,京城銀       ,20180105,40.15
2812,台中銀       ,20180105,10.05
2816,旺旺保       ,20180105,20.65
2820,華票         ,20180105,15.55
2823,中壽         ,20180105,30.3
2832,台產         ,20180105,20.9
2834,臺企銀       ,20180105,8.44
2836,高雄銀       ,20180105,9.31
2838,聯邦銀       ,20180105,9.3
2841,台開         ,20180105,10.35
2845,遠東銀       ,20180105,9.66
2849,安泰銀       ,20180105,13.3
2850,新產         ,20180105,29
2851,中再保       ,20180105,17.75
2852,第一保       ,20180105,14.6
2855,統一證       ,20180105,14.7
2856,元富證       ,20180105,8.7
2867,三商壽       ,20180105,16.35
2880,華南金       ,20180105,17.15
2881,富邦金       ,20180105,52.2
2882,國泰金       ,20180105,55.7
2883,開發金       ,20180105,10.2
2884,玉山金       ,20180105,19.35
2885,元大金       ,20180105,13.95
2886,兆豐金       ,20180105,24.9
2887,台新金       ,20180105,14.2
2888,新光金       ,20180105,10.6
2889,國票金       ,20180105,9.49
2890,永豐金       ,20180105,9.8
2891,中信金       ,20180105,20.9
2892,第一金       ,20180105,19.7
2901,欣欣         ,20180105,26.4
2903,遠百         ,20180105,15.25
2904,匯僑         ,20180105,18.6
2905,三商         ,20180105,26.05
2906,高林         ,20180105,11.1
2908,特力         ,20180105,22.95
2910,統領         ,20180105,26.75
2911,麗嬰房       ,20180105,12.3
2912,統一超       ,20180105,283
2913,農林         ,20180105,15.6
2915,潤泰全       ,20180105,51.8
2923,鼎固-KY      ,20180105,18.6
3002,歐格         ,20180105,13.35
3003,健和興       ,20180105,66.3
3004,豐達科       ,20180105,51
3005,神基         ,20180105,47.15
3006,晶豪科       ,20180105,43.7
3008,大立光       ,20180105,4100
3010,華立         ,20180105,56.1
3011,今皓         ,20180105,7.35
3013,晟銘電       ,20180105,21.6
3014,聯陽         ,20180105,35.9
3015,全漢         ,20180105,24.7
3016,嘉晶         ,20180105,35.4
3017,奇鋐         ,20180105,32.3
3018,同開         ,20180105,91.7
3019,亞光         ,20180105,100
3021,鴻名         ,20180105,15.55
3022,威強電       ,20180105,40
3023,信邦         ,20180105,84.3
3024,憶聲         ,20180105,6.5
3025,星通         ,20180105,20.85
3026,禾伸堂       ,20180105,122
3027,盛達         ,20180105,10.45
3028,增你強       ,20180105,20.15
3029,零壹         ,20180105,19.85
3030,德律         ,20180105,44.75
3031,佰鴻         ,20180105,18.6
3032,偉訓         ,20180105,38.3
3033,威健         ,20180105,19.55
3034,聯詠         ,20180105,117.5
3035,智原         ,20180105,58.5
3036,文曄         ,20180105,45.5
3037,欣興         ,20180105,16.9
3038,全台         ,20180105,10.35
3040,遠見         ,20180105,48
3041,揚智         ,20180105,17.5
3042,晶技         ,20180105,40.15
3043,科風         ,20180105,2.32
3044,健鼎         ,20180105,95.3
3045,台灣大       ,20180105,108.5
3046,建碁         ,20180105,16.5
3047,訊舟         ,20180105,9.98
3048,益登         ,20180105,20.05
3049,和鑫         ,20180105,9.29
3050,鈺德         ,20180105,11.75
3051,力特         ,20180105,5.61
3052,夆典         ,20180105,8.62
3054,立萬利       ,20180105,19.15
3055,蔚華科       ,20180105,24.7
3056,總太         ,20180105,19.5
3057,喬鼎         ,20180105,11.2
3058,立德         ,20180105,9.1
3059,華晶科       ,20180105,35.6
3060,銘異         ,20180105,27.7
3062,建漢         ,20180105,21
3090,日電貿       ,20180105,39.25
3094,聯傑         ,20180105,26.25
3130,一零四       ,20180105,163
3149,正達         ,20180105,19.9
3164,景岳         ,20180105,23.1
3189,景碩         ,20180105,55.5
3209,全科         ,20180105,20.75
3229,晟鈦         ,20180105,17.8
3231,緯創         ,20180105,23.65
3257,虹冠電       ,20180105,52.2
3296,勝德         ,20180105,15.85
3305,昇貿         ,20180105,26.2
3308,聯德         ,20180105,8.33
3311,閎暉         ,20180105,19.1
3312,弘憶股       ,20180105,7.11
3356,奇偶         ,20180105,39.5
3376,新日興       ,20180105,79.6
3380,明泰         ,20180105,25.75
3383,新世紀       ,20180105,3.5
3406,玉晶光       ,20180105,274.5
3419,譁裕         ,20180105,19.9
3432,台端         ,20180105,11.7
3443,創意         ,20180105,289.5
3450,聯鈞         ,20180105,132.5
3454,晶睿         ,20180105,96.2
3481,群創         ,20180105,12.45
3494,誠研         ,20180105,11.2
3501,維熹         ,20180105,58.2
3504,揚明光       ,20180105,52
3514,昱晶         ,20180105,17.9
3515,華擎         ,20180105,72
3518,柏騰         ,20180105,32.7
3519,綠能         ,20180105,17.85
3532,台勝科       ,20180105,110
3533,嘉澤         ,20180105,215
3535,晶彩科       ,20180105,12.45
3536,誠創         ,20180105,21.2
3545,敦泰         ,20180105,33.2
3550,聯穎         ,20180105,25.35
3557,嘉威         ,20180105,14.45
3561,昇陽光電     ,20180105,15.05
3576,新日光       ,20180105,14.1
3579,尚志         ,20180105,16.35
3583,辛耘         ,20180105,84.4
3588,通嘉         ,20180105,28.4
3591,艾笛森       ,20180105,16.2
3593,力銘         ,20180105,11.85
3596,智易         ,20180105,55.8
3605,宏致         ,20180105,25.95
3607,谷崧         ,20180105,35.05
3617,碩天         ,20180105,99.8
3622,洋華         ,20180105,22.2
3645,達邁         ,20180105,87.8
3653,健策         ,20180105,71.5
3665,貿聯-KY      ,20180105,269.5
3669,圓展         ,20180105,20
3673,TPK-KY       ,20180105,87.2
3679,新至陞       ,20180105,71.8
3686,達能         ,20180105,7.03
3694,海華         ,20180105,18.7
3698,隆達         ,20180105,26.3
3701,大眾控       ,20180105,6.9
3702,大聯大       ,20180105,39.95
3703,欣陸         ,20180105,17.2
3704,合勤控       ,20180105,16.1
3705,永信         ,20180105,40.2
4104,佳醫         ,20180105,45.2
4106,雃博         ,20180105,29.7
4108,懷特         ,20180105,23.05
4119,旭富         ,20180105,59.9
4133,亞諾法       ,20180105,38.3
4141,龍燈-KY      ,20180105,26.55
4142,國光生       ,20180105,20.2
4144,康聯-KY      ,20180105,34.7
4164,承業醫       ,20180105,35.95
4306,炎洲         ,20180105,14.85
4414,如興         ,20180105,17.55
4426,利勤         ,20180105,47.9
4526,東台         ,20180105,20.25
4532,瑞智         ,20180105,29.6
4722,國精化       ,20180105,34.8
4725,信昌化       ,20180105,32.2
4737,華廣         ,20180105,55.4
4746,台耀         ,20180105,68.4
4904,遠傳         ,20180105,75.4
4906,正文         ,20180105,31.2
4915,致伸         ,20180105,88.3
4919,新唐         ,20180105,67.4
4930,燦星網       ,20180105,13.05
4934,太極         ,20180105,12.75
4935,茂林-KY      ,20180105,44.4
4938,和碩         ,20180105,72
4942,嘉彰         ,20180105,23.35
4952,凌通         ,20180105,55
4956,光鋐         ,20180105,22.7
4958,臻鼎-KY      ,20180105,67.2
4960,奇美材       ,20180105,12.15
4976,佳凌         ,20180105,37.6
4984,科納-KY      ,20180105,41.05
4999,鑫禾         ,20180105,50.3
5007,三星         ,20180105,58.4
5203,訊連         ,20180105,67.7
5215,科嘉-KY      ,20180105,26.7
5225,東科-KY      ,20180105,28.65
5234,達興材料     ,20180105,79
5264,鎧勝-KY      ,20180105,104.5
5269,祥碩         ,20180105,364
5305,敦南         ,20180105,43.3
5388,中磊         ,20180105,87.7
5434,崇越         ,20180105,83
5469,瀚宇博       ,20180105,21.65
5471,松翰         ,20180105,37.55
5484,慧友         ,20180105,5.1
5515,建國         ,20180105,11.25
5521,工信         ,20180105,15.95
5522,遠雄         ,20180105,32.25
5525,順天         ,20180105,16.65
5531,鄉林         ,20180105,11.6
5533,皇鼎         ,20180105,15.85
5534,長虹         ,20180105,82.5
5607,遠雄港       ,20180105,18.35
5608,四維航       ,20180105,9.39
5706,鳳凰         ,20180105,34.95
5871,中租-KY      ,20180105,93.6
5880,合庫金       ,20180105,16.9
5906,台南-KY      ,20180105,8.02
5907,大洋-KY      ,20180105,24.8
6005,群益證       ,20180105,11.35
6108,競國         ,20180105,29.05
6112,聚碩         ,20180105,29.95
6115,鎰勝         ,20180105,44.5
6116,彩晶         ,20180105,10.2
6117,迎廣         ,20180105,18.6
6120,達運         ,20180105,44.35
6128,上福全球     ,20180105,38.45
6131,悠克         ,20180105,20.4
6133,金橋         ,20180105,10.4
6136,富爾特       ,20180105,24.65
6139,亞翔         ,20180105,38.2
6141,柏承         ,20180105,17.3
6142,友勁         ,20180105,8.75
6145,勁永         ,20180105,12.6
6152,百一         ,20180105,8.88
6153,嘉聯益       ,20180105,46.65
6155,鈞寶         ,20180105,24.25
6164,華興         ,20180105,13.1
6165,捷泰         ,20180105,31.65
6166,凌華         ,20180105,65.2
6168,宏齊         ,20180105,20.65
6172,互億         ,20180105,10.3
6176,瑞儀         ,20180105,70.3
6183,關貿         ,20180105,31.5
6184,大豐電       ,20180105,35.1
6189,豐藝         ,20180105,28.65
6191,精成科       ,20180105,13.45
6192,巨路         ,20180105,57.9
6196,帆宣         ,20180105,40.1
6197,佳必琪       ,20180105,32.95
6201,亞弘電       ,20180105,29
6202,盛群         ,20180105,74.1
6205,詮欣         ,20180105,31
6206,飛捷         ,20180105,85.4
6209,今國光       ,20180105,36.5
6213,聯茂         ,20180105,67.6
6214,精誠         ,20180105,59.9
6215,和椿         ,20180105,20.4
6216,居易         ,20180105,29.05
6224,聚鼎         ,20180105,56.8
6225,天瀚         ,20180105,3.5
6226,光鼎         ,20180105,10.45
6230,超眾         ,20180105,100.5
6235,華孚         ,20180105,20.75
6239,力成         ,20180105,89.2
6243,迅杰         ,20180105,19.2
6251,定穎         ,20180105,12.1
6257,矽格         ,20180105,35.2
6269,台郡         ,20180105,107.5
6271,同欣電       ,20180105,133
6277,宏正         ,20180105,83.4
6278,台表科       ,20180105,34.4
6281,全國電       ,20180105,62.5
6282,康舒         ,20180105,21.95
6283,淳安         ,20180105,48.2
6285,啟碁         ,20180105,88.1
6289,華上         ,20180105,2.1
6504,南六         ,20180105,158
6505,台塑化       ,20180105,120
6605,帝寶         ,20180105,90.9
8011,台通         ,20180105,21.8
8016,矽創         ,20180105,87.4
8021,尖點         ,20180105,21.85
8033,雷虎         ,20180105,11.9
8039,台虹         ,20180105,62.1
8046,南電         ,20180105,26.7
8070,長華         ,20180105,149.5
8072,陞泰         ,20180105,21.6
8081,致新         ,20180105,69.5
8101,華冠         ,20180105,3.94
8103,瀚荃         ,20180105,31.6
8105,凌巨         ,20180105,19.55
8110,華東         ,20180105,16.45
8112,至上         ,20180105,30.05
8114,振樺電       ,20180105,138
8131,福懋科       ,20180105,31.75
8163,達方         ,20180105,30.8
8201,無敵         ,20180105,13.25
8210,勤誠         ,20180105,42.2
8213,志超         ,20180105,32.65
8215,明基材       ,20180105,20.4
8249,菱光         ,20180105,26.25
8261,富鼎         ,20180105,32.35
8271,宇瞻         ,20180105,38.9
8374,羅昇         ,20180105,32.35
8404,百和興業-KY  ,20180105,65.3
8411,福貞-KY      ,20180105,25.7
8422,可寧衛       ,20180105,176
8427,基勝-KY      ,20180105,43.6
8429,金麗-KY      ,20180105,26.15
8926,台汽電       ,20180105,26.9
8940,新天地       ,20180105,13.6
9802,鈺齊-KY      ,20180105,72.9
9902,台火         ,20180105,10.6
9904,寶成         ,20180105,38.1
9905,大華         ,20180105,25.25
9906,欣巴巴       ,20180105,15.8
9907,統一實       ,20180105,14.05
9908,大台北       ,20180105,26.85
9910,豐泰         ,20180105,137
9911,櫻花         ,20180105,37.35
9912,偉聯         ,20180105,8.11
9914,美利達       ,20180105,130.5
9917,中保         ,20180105,92.6
9918,欣天然       ,20180105,32.45
9919,康那香       ,20180105,12.95
9921,巨大         ,20180105,170
9924,福興         ,20180105,37.7
9925,新保         ,20180105,39
9926,新海         ,20180105,40.8
9927,泰銘         ,20180105,40.05
9928,中視         ,20180105,5.25
9929,秋雨         ,20180105,11.65
9930,中聯資源     ,20180105,59.7
9931,欣高         ,20180105,30.8
9933,中鼎         ,20180105,46.45
9934,成霖         ,20180105,21.4
9935,慶豐富       ,20180105,27.7
9937,全國         ,20180105,39.75
9938,百和         ,20180105,125
9939,宏全         ,20180105,56.9
9940,信義         ,20180105,38.7
9941,裕融         ,20180105,112.5
9942,茂順         ,20180105,90.8
9943,好樂迪       ,20180105,52.9
9944,新麗         ,20180105,19.5
9945,潤泰新       ,20180105,33.1
9955,佳龍         ,20180105,15.8
9958,世紀鋼       ,20180105,30.95
