name,share1,industry,share2
統一,0.78%,食品工業,0.78%
台塑,4.54%,塑膠工業,12.09%
南亞塑膠,3.85%,塑膠工業,12.09%
台化,3.70%,塑膠工業,12.09%
遠東新,0.93%,紡織纖維,0.93%
大同,0.74%,電機機械,0.74%
華新,0.71%,電器電纜,0.71%
中鋼,4.11%,鋼鐵工業,4.11%
裕隆汽車,0.64%,汽車工業,1.04%
中華汽車,0.40%,汽車工業,1.04%
奇美電子,2.09%,電子工業,2.86%
廣輝下市,0.77%,電子工業,2.86%
長榮海運,0.59%,航運業,1.38%
陽明海運,0.54%,航運業,1.38%
華航,0.25%,航運業,1.38%
彰化銀行,1.03%,金融保險業,25.25%
華南金,1.66%,金融保險業,25.25%
富邦金,2.93%,金融保險業,25.25%
國泰金,3.92%,金融保險業,25.25%
開發金,2.26%,金融保險業,25.25%
玉山金控,0.84%,金融保險業,25.25%
兆豐金,2.73%,金融保險業,25.25%
台新金控,1.96%,金融保險業,25.25%
新光金,0.80%,金融保險業,25.25%
永豐金控,1.07%,金融保險業,25.25%
中信金,3.26%,金融保險業,25.25%
第一金控,1.68%,金融保險業,25.25%
元京證,1.11%,金融保險業,25.25%
寶成工業,0.85%,其他,0.85%
台塑石化,0.92%,油電燃氣業,0.92%
聯電,4.00%,半導體業,23.50%
日月光,1.13%,半導體業,23.50%
矽品,0.91%,半導體業,23.50%
台積電,14.24%,半導體業,23.50%
華邦電,0.56%,半導體業,23.50%
南亞科,0.61%,半導體業,23.50%
聯發科,2.05%,半導體業,23.50%
光寶科技,1.34%,電腦及週邊設備業,9.30%
仁寶電腦,1.51%,電腦及週邊設備業,9.30%
佳世達,0.89%,電腦及週邊設備業,9.30%
宏碁,1.63%,電腦及週邊設備業,9.30%
華碩,2.63%,電腦及週邊設備業,9.30%
廣達,1.30%,電腦及週邊設備業,9.30%
中環,0.70%,光電業,4.46%
友達,2.70%,光電業,4.46%
華映,1.06%,光電業,4.46%
中華電,3.47%,通信網路業,4.62%
台灣大,1.15%,通信網路業,4.62%
台達電,0.96%,電子零組件業,0.96%
鴻海,5.35%,其他電子業,5.35%
