name,share1,industry,share2
台泥,0.57%,水泥工業,1.09%
亞泥,0.52%,水泥工業,1.09%
統一,1.43%,食品工業,1.43%
台塑,3.87%,塑膠工業,9.41%
南亞塑膠,2.99%,塑膠工業,9.41%
台化,2.55%,塑膠工業,9.41%
遠東新,1.27%,紡織纖維,1.27%
中鋼,2.84%,鋼鐵工業,2.84%
正新,0.54%,橡膠工業,0.54%
奇美電子,0.88%,電子工業,0.88%
長榮海運,0.27%,航運業,0.27%
彰化銀行,0.51%,金融保險業,15.12%
華南金,0.92%,金融保險業,15.12%
富邦金,2.14%,金融保險業,15.12%
國泰金,2.51%,金融保險業,15.12%
開發金,0.93%,金融保險業,15.12%
元大金,1.40%,金融保險業,15.12%
兆豐金,1.65%,金融保險業,15.12%
新光金,0.63%,金融保險業,15.12%
永豐金控,0.89%,金融保險業,15.12%
中信金,1.83%,金融保險業,15.12%
第一金控,0.92%,金融保險業,15.12%
合庫,0.79%,金融保險業,15.12%
統一超,0.32%,貿易百貨,0.32%
寶成工業,0.57%,其他,0.57%
台肥,0.82%,化學工業,0.82%
台塑石化,1.54%,油電燃氣業,1.54%
聯電,1.48%,半導體業,24.58%
日月光,1.05%,半導體業,24.58%
矽品,1.38%,半導體業,24.58%
台積電,16.04%,半導體業,24.58%
聯發科,4.23%,半導體業,24.58%
華亞科,0.40%,半導體業,24.58%
光寶科技,0.91%,電腦及週邊設備業,8.99%
仁寶電腦,1.43%,電腦及週邊設備業,8.99%
宏碁,2.11%,電腦及週邊設備業,8.99%
華碩,2.27%,電腦及週邊設備業,8.99%
廣達,1.20%,電腦及週邊設備業,8.99%
緯創,1.07%,電腦及週邊設備業,8.99%
友達,2.64%,光電業,3.92%
群創光電,1.28%,光電業,3.92%
中華電,2.92%,通信網路業,7.23%
宏達電,2.71%,通信網路業,7.23%
台灣大,1.02%,通信網路業,7.23%
遠傳,0.58%,通信網路業,7.23%
台達電,1.49%,電子零組件業,1.76%
南電,0.27%,電子零組件業,1.76%
聯強國際,0.88%,電子通路業,0.88%
鴻海,10.62%,其他電子業,11.47%
鴻準,0.85%,其他電子業,11.47%
