name,share1,industry,share2
台泥,1.09%,水泥工業,1.76%
亞泥,0.67%,水泥工業,1.76%
統一,1.83%,食品工業,1.83%
台塑,2.64%,塑膠工業,7.79%
南亞塑膠,2.84%,塑膠工業,7.79%
台化,2.31%,塑膠工業,7.79%
遠東新,0.90%,紡織纖維,0.90%
中鋼,2.42%,鋼鐵工業,2.42%
正新,0.93%,橡膠工業,0.93%
和泰汽車,1.27%,汽車工業,1.32%
裕隆日產,0.05%,汽車工業,1.32%
彰銀,0.44%,金融保險業,17.42%
華南金,0.93%,金融保險業,17.42%
富邦金,2.54%,金融保險業,17.42%
國泰金,2.94%,金融保險業,17.42%
開發金,0.99%,金融保險業,17.42%
玉山金,0.92%,金融保險業,17.42%
元大金,1.11%,金融保險業,17.42%
兆豐金,1.86%,金融保險業,17.42%
台新金,0.88%,金融保險業,17.42%
永豐金,0.80%,金融保險業,17.42%
中信金,2.26%,金融保險業,17.42%
第一金,1.00%,金融保險業,17.42%
合庫,0.75%,金融保險業,17.42%
統一超,0.91%,貿易百貨,0.91%
寶成工業,0.67%,其他,0.67%
台塑石化,1.05%,油電燃氣業,1.05%
聯電,1.13%,半導體業,30.93%
日月光,1.63%,半導體業,30.93%
矽品,0.92%,半導體業,30.93%
台積電,21.47%,半導體業,30.93%
聯發科,4.92%,半導體業,30.93%
華亞科,0.86%,半導體業,30.93%
光寶科技,0.70%,電腦及週邊設備業,5.75%
仁寶電腦,0.71%,電腦及週邊設備業,5.75%
華碩,1.55%,電腦及週邊設備業,5.75%
廣達,1.53%,電腦及週邊設備業,5.75%
研華,0.55%,電腦及週邊設備業,5.75%
和碩,0.71%,電腦及週邊設備業,5.75%
友達,0.83%,光電業,3.37%
大立光,1.64%,光電業,3.37%
群創光電,0.90%,光電業,3.37%
中華電,2.61%,通信網路業,5.21%
宏達電,0.74%,通信網路業,5.21%
台灣大,1.16%,通信網路業,5.21%
遠傳,0.70%,通信網路業,5.21%
台達電,2.91%,電子零組件業,2.91%
鴻海,9.11%,其他電子業,11.23%
鴻準,0.60%,其他電子業,11.23%
可成科技,1.52%,其他電子業,11.23%
