name,share1,industry,share2
台泥,1.00%,水泥工業,1.64%
亞泥,0.64%,水泥工業,1.64%
統一,1.72%,食品工業,1.72%
台塑,2.63%,塑膠工業,7.66%
南亞塑膠,2.80%,塑膠工業,7.66%
台化,2.23%,塑膠工業,7.66%
遠東新,0.90%,紡織纖維,0.90%
中鋼,2.28%,鋼鐵工業,2.28%
正新,0.94%,橡膠工業,0.94%
和泰汽車,1.40%,汽車工業,1.45%
裕隆日產,0.05%,汽車工業,1.45%
彰銀,0.44%,金融保險業,17.47%
華南金,0.88%,金融保險業,17.47%
富邦金,2.89%,金融保險業,17.47%
國泰金,2.81%,金融保險業,17.47%
開發金,1.09%,金融保險業,17.47%
玉山金,0.91%,金融保險業,17.47%
元大金,1.10%,金融保險業,17.47%
兆豐金,1.83%,金融保險業,17.47%
台新金,0.77%,金融保險業,17.47%
永豐金,0.79%,金融保險業,17.47%
中信金,2.18%,金融保險業,17.47%
第一金,0.96%,金融保險業,17.47%
合庫,0.82%,金融保險業,17.47%
統一超,0.93%,貿易百貨,0.93%
寶成工業,0.82%,其他,0.82%
台塑石化,0.92%,油電燃氣業,0.92%
聯電,1.31%,半導體業,34.21%
日月光,1.84%,半導體業,34.21%
矽品,1.09%,半導體業,34.21%
台積電,24.65%,半導體業,34.21%
南亞科,0.20%,半導體業,34.21%
聯發科,4.37%,半導體業,34.21%
華亞科,0.75%,半導體業,34.21%
光寶科技,0.61%,電腦及週邊設備業,5.19%
華碩,1.59%,電腦及週邊設備業,5.19%
廣達,1.41%,電腦及週邊設備業,5.19%
研華,0.57%,電腦及週邊設備業,5.19%
和碩,1.01%,電腦及週邊設備業,5.19%
友達,0.97%,光電業,3.97%
大立光,1.92%,光電業,3.97%
群創光電,1.08%,光電業,3.97%
中華電,2.67%,通信網路業,5.56%
宏達電,0.74%,通信網路業,5.56%
台灣大,1.30%,通信網路業,5.56%
遠傳,0.85%,通信網路業,5.56%
台達電,2.83%,電子零組件業,2.83%
鴻海,8.21%,其他電子業,10.51%
鴻準,0.63%,其他電子業,10.51%
可成科技,1.67%,其他電子業,10.51%
