name,share1,industry,share2
台泥,1.26%,水泥工業,2.00%
亞泥,0.74%,水泥工業,2.00%
統一,1.99%,食品工業,1.99%
台塑,3.33%,塑膠工業,9.77%
南亞塑膠,3.32%,塑膠工業,9.77%
台化,3.12%,塑膠工業,9.77%
遠東新,1.12%,紡織纖維,1.12%
中鋼,2.78%,鋼鐵工業,2.78%
正新,1.22%,橡膠工業,1.22%
裕隆汽車,0.39%,汽車工業,1.75%
和泰汽車,1.27%,汽車工業,1.75%
裕隆日產,0.09%,汽車工業,1.75%
F-晨星,0.81%,電子工業,0.81%
彰銀,0.48%,金融保險業,18.34%
華南金,1.00%,金融保險業,18.34%
富邦金,2.68%,金融保險業,18.34%
國泰金,3.08%,金融保險業,18.34%
開發金,1.07%,金融保險業,18.34%
玉山金,0.84%,金融保險業,18.34%
元大金,1.45%,金融保險業,18.34%
兆豐金,1.80%,金融保險業,18.34%
台新金,0.88%,金融保險業,18.34%
永豐金,0.95%,金融保險業,18.34%
中信金,2.23%,金融保險業,18.34%
第一金,1.07%,金融保險業,18.34%
合庫,0.81%,金融保險業,18.34%
統一超,0.98%,貿易百貨,0.98%
寶成工業,0.45%,其他,0.45%
台塑石化,1.31%,油電燃氣業,1.31%
聯電,1.27%,半導體業,29.65%
日月光,1.41%,半導體業,29.65%
矽品,0.89%,半導體業,29.65%
台積電,21.38%,半導體業,29.65%
聯發科,4.70%,半導體業,29.65%
光寶科技,0.85%,電腦及週邊設備業,5.37%
仁寶電腦,0.80%,電腦及週邊設備業,5.37%
華碩,1.62%,電腦及週邊設備業,5.37%
廣達,1.55%,電腦及週邊設備業,5.37%
和碩,0.55%,電腦及週邊設備業,5.37%
友達,0.70%,光電業,2.53%
大立光,1.03%,光電業,2.53%
群創光電,0.80%,光電業,2.53%
中華電,2.99%,通信網路業,6.12%
宏達電,0.89%,通信網路業,6.12%
台灣大,1.36%,通信網路業,6.12%
遠傳,0.88%,通信網路業,6.12%
台達電,2.92%,電子零組件業,2.92%
鴻海,7.66%,其他電子業,9.43%
鴻準,0.59%,其他電子業,9.43%
可成科技,1.18%,其他電子業,9.43%
