name,share1,industry,share2
統一,0.85%,食品工業,0.85%
台塑,4.04%,塑膠工業,10.89%
南亞塑膠,3.88%,塑膠工業,10.89%
台化,2.97%,塑膠工業,10.89%
遠東新,0.90%,紡織纖維,0.90%
華新,0.77%,電器電纜,0.77%
中鋼,3.75%,鋼鐵工業,3.75%
裕隆汽車,0.64%,汽車工業,1.15%
中華汽車,0.51%,汽車工業,1.15%
奇美電子,2.18%,電子工業,3.22%
廣輝下市,1.04%,電子工業,3.22%
長榮海運,0.51%,航運業,1.29%
陽明海運,0.53%,航運業,1.29%
華航,0.25%,航運業,1.29%
彰化銀行,1.14%,金融保險業,25.04%
華南金,1.63%,金融保險業,25.04%
富邦金,3.04%,金融保險業,25.04%
國泰金,4.20%,金融保險業,25.04%
開發金,3.25%,金融保險業,25.04%
兆豐金,3.16%,金融保險業,25.04%
台新金控,1.83%,金融保險業,25.04%
新光金,0.55%,金融保險業,25.04%
永豐金控,1.10%,金融保險業,25.04%
中信金,3.44%,金融保險業,25.04%
第一金控,1.70%,金融保險業,25.04%
統一超,0.36%,貿易百貨,0.36%
寶成工業,0.98%,其他,0.98%
台塑石化,0.81%,油電燃氣業,0.81%
聯電,5.04%,半導體業,25.79%
日月光,1.19%,半導體業,25.79%
矽品,0.83%,半導體業,25.79%
台積電,13.94%,半導體業,25.79%
華邦電,0.85%,半導體業,25.79%
威盛電子,0.45%,半導體業,25.79%
凌陽科技,0.57%,半導體業,25.79%
南亞科,0.77%,半導體業,25.79%
聯發科,2.15%,半導體業,25.79%
光寶科技,1.33%,電腦及週邊設備業,9.88%
仁寶電腦,1.97%,電腦及週邊設備業,9.88%
佳世達,1.08%,電腦及週邊設備業,9.88%
宏碁,1.64%,電腦及週邊設備業,9.88%
華碩,2.19%,電腦及週邊設備業,9.88%
廣達,1.67%,電腦及週邊設備業,9.88%
中環,0.99%,光電業,5.41%
友達,2.98%,光電業,5.41%
華映,1.44%,光電業,5.41%
中華電,1.87%,通信網路業,3.04%
台灣大,1.17%,通信網路業,3.04%
台達電,0.82%,電子零組件業,0.82%
鴻海,4.32%,其他電子業,4.32%
