name,share1,industry,share2
台泥,0.61%,水泥工業,1.21%
亞泥,0.60%,水泥工業,1.21%
統一,1.49%,食品工業,1.49%
台塑,3.96%,塑膠工業,9.26%
南亞塑膠,2.88%,塑膠工業,9.26%
台化,2.42%,塑膠工業,9.26%
遠東新,1.54%,紡織纖維,1.54%
中鋼,3.15%,鋼鐵工業,3.15%
正新,0.45%,橡膠工業,0.45%
奇美電子,1.11%,電子工業,1.11%
長榮海運,0.30%,航運業,0.30%
彰化銀行,0.61%,金融保險業,16.59%
華南金,1.07%,金融保險業,16.59%
富邦金,2.22%,金融保險業,16.59%
國泰金,2.80%,金融保險業,16.59%
開發金,1.04%,金融保險業,16.59%
元大金,1.59%,金融保險業,16.59%
兆豐金,1.50%,金融保險業,16.59%
新光金,0.69%,金融保險業,16.59%
永豐金控,0.95%,金融保險業,16.59%
中信金,2.13%,金融保險業,16.59%
第一金控,1.07%,金融保險業,16.59%
合庫,0.92%,金融保險業,16.59%
統一超,0.36%,貿易百貨,0.36%
寶成工業,0.65%,其他,0.65%
台肥,0.85%,化學工業,0.85%
台塑石化,1.71%,油電燃氣業,1.71%
聯電,1.27%,半導體業,24.13%
日月光,0.93%,半導體業,24.13%
矽品,1.42%,半導體業,24.13%
台積電,16.60%,半導體業,24.13%
聯發科,3.74%,半導體業,24.13%
華亞科,0.17%,半導體業,24.13%
光寶科技,0.75%,電腦及週邊設備業,8.03%
仁寶電腦,1.23%,電腦及週邊設備業,8.03%
宏碁,1.79%,電腦及週邊設備業,8.03%
華碩,2.15%,電腦及週邊設備業,8.03%
廣達,1.13%,電腦及週邊設備業,8.03%
緯創,0.98%,電腦及週邊設備業,8.03%
友達,3.22%,光電業,4.70%
群創光電,1.48%,光電業,4.70%
中華電,3.69%,通信網路業,9.69%
宏達電,4.10%,通信網路業,9.69%
台灣大,1.17%,通信網路業,9.69%
遠傳,0.73%,通信網路業,9.69%
台達電,1.45%,電子零組件業,1.71%
南電,0.26%,電子零組件業,1.71%
聯強國際,0.76%,電子通路業,0.76%
鴻海,10.25%,其他電子業,11.17%
鴻準,0.92%,其他電子業,11.17%
