name,share1,industry,share2
台泥,0.70%,水泥工業,1.36%
亞泥,0.66%,水泥工業,1.36%
統一,1.72%,食品工業,1.72%
台塑,3.97%,塑膠工業,9.83%
南亞塑膠,3.22%,塑膠工業,9.83%
台化,2.64%,塑膠工業,9.83%
遠東新,1.15%,紡織纖維,1.15%
中鋼,3.31%,鋼鐵工業,3.31%
奇美電子,0.94%,電子工業,0.94%
長榮海運,0.38%,航運業,0.38%
彰化銀行,0.74%,金融保險業,17.18%
華南金,1.34%,金融保險業,17.18%
富邦金,2.20%,金融保險業,17.18%
國泰金,2.83%,金融保險業,17.18%
開發金,1.30%,金融保險業,17.18%
元大金,1.46%,金融保險業,17.18%
兆豐金,1.53%,金融保險業,17.18%
新光金,0.60%,金融保險業,17.18%
永豐金控,0.81%,金融保險業,17.18%
中信金,2.01%,金融保險業,17.18%
第一金控,1.27%,金融保險業,17.18%
合庫,1.09%,金融保險業,17.18%
統一超,0.46%,貿易百貨,0.46%
寶成工業,0.65%,其他,0.65%
台肥,0.61%,化學工業,0.61%
台塑石化,1.99%,油電燃氣業,1.99%
聯電,1.20%,半導體業,25.21%
日月光,0.80%,半導體業,25.21%
矽品,1.41%,半導體業,25.21%
台積電,18.50%,半導體業,25.21%
南亞科,0.34%,半導體業,25.21%
聯發科,2.83%,半導體業,25.21%
華亞科,0.13%,半導體業,25.21%
光寶科技,0.76%,電腦及週邊設備業,7.74%
仁寶電腦,1.08%,電腦及週邊設備業,7.74%
宏碁,1.79%,電腦及週邊設備業,7.74%
華碩,2.50%,電腦及週邊設備業,7.74%
廣達,1.01%,電腦及週邊設備業,7.74%
緯創,0.60%,電腦及週邊設備業,7.74%
友達,3.35%,光電業,4.55%
群創光電,1.20%,光電業,4.55%
中華電,4.83%,通信網路業,11.08%
宏達電,3.93%,通信網路業,11.08%
台灣大,1.37%,通信網路業,11.08%
遠傳,0.95%,通信網路業,11.08%
台達電,1.66%,電子零組件業,1.93%
南電,0.27%,電子零組件業,1.93%
聯強國際,0.65%,電子通路業,0.65%
鴻海,7.58%,其他電子業,8.62%
鴻準,1.04%,其他電子業,8.62%
