name,share1,industry,share2
台泥,0.66%,水泥工業,1.04%
亞泥,0.38%,水泥工業,1.04%
統一,1.85%,食品工業,1.85%
台塑,2.75%,塑膠工業,7.29%
南亞塑膠,2.60%,塑膠工業,7.29%
台化,1.94%,塑膠工業,7.29%
遠東新,0.58%,紡織纖維,0.58%
中鋼,1.86%,鋼鐵工業,1.86%
正新,0.68%,橡膠工業,0.68%
和泰汽車,0.87%,汽車工業,0.87%
台灣高鐵,0.31%,航運業,0.31%
彰銀,0.59%,金融保險業,16.21%
中壽,0.48%,金融保險業,16.21%
華南金,0.83%,金融保險業,16.21%
富邦金,2.13%,金融保險業,16.21%
國泰金,2.33%,金融保險業,16.21%
開發金,0.78%,金融保險業,16.21%
玉山金,1.08%,金融保險業,16.21%
元大金,0.93%,金融保險業,16.21%
兆豐金,1.59%,金融保險業,16.21%
台新金,0.76%,金融保險業,16.21%
永豐金,0.57%,金融保險業,16.21%
中信金,2.13%,金融保險業,16.21%
第一金,1.16%,金融保險業,16.21%
合庫,0.85%,金融保險業,16.21%
統一超,0.88%,貿易百貨,0.88%
寶成工業,0.62%,其他,0.62%
台塑石化,0.89%,油電燃氣業,0.89%
聯電,1.09%,半導體業,38.18%
日月光,1.49%,半導體業,38.18%
矽品,0.66%,半導體業,38.18%
台積電,31.93%,半導體業,38.18%
南亞科,0.38%,半導體業,38.18%
聯發科,2.63%,半導體業,38.18%
光寶科技,0.56%,電腦及週邊設備業,4.77%
仁寶電腦,0.54%,電腦及週邊設備業,4.77%
華碩,1.07%,電腦及週邊設備業,4.77%
廣達,1.14%,電腦及週邊設備業,4.77%
研華,0.49%,電腦及週邊設備業,4.77%
和碩,0.97%,電腦及週邊設備業,4.77%
友達,0.66%,光電業,4.80%
大立光,3.39%,光電業,4.80%
群創光電,0.75%,光電業,4.80%
中華電,2.44%,通信網路業,4.21%
台灣大,1.06%,通信網路業,4.21%
遠傳,0.71%,通信網路業,4.21%
台達電,2.08%,電子零組件業,2.08%
鴻海,9.80%,其他電子業,11.74%
鴻準,0.60%,其他電子業,11.74%
可成科技,1.34%,其他電子業,11.74%
