name,share1,industry,share2
台泥,1.10%,水泥工業,1.84%
亞泥,0.74%,水泥工業,1.84%
統一,2.14%,食品工業,2.14%
台塑,3.10%,塑膠工業,8.57%
南亞塑膠,2.78%,塑膠工業,8.57%
台化,2.69%,塑膠工業,8.57%
遠東新,1.07%,紡織纖維,1.07%
中鋼,2.88%,鋼鐵工業,2.88%
正新,1.30%,橡膠工業,1.30%
裕隆汽車,0.46%,汽車工業,1.40%
和泰汽車,0.94%,汽車工業,1.40%
F-晨星,0.62%,電子工業,0.62%
彰化銀行,0.57%,金融保險業,16.10%
華南金,1.03%,金融保險業,16.10%
富邦金,2.65%,金融保險業,16.10%
國泰金,2.59%,金融保險業,16.10%
開發金,1.11%,金融保險業,16.10%
元大金,1.34%,金融保險業,16.10%
兆豐金,2.02%,金融保險業,16.10%
永豐金控,0.92%,金融保險業,16.10%
中信金,1.97%,金融保險業,16.10%
第一金控,1.10%,金融保險業,16.10%
合庫金,0.80%,金融保險業,16.10%
統一超,0.85%,貿易百貨,0.85%
台肥,0.48%,化學工業,0.48%
台塑石化,1.35%,油電燃氣業,1.35%
聯電,1.25%,半導體業,29.50%
日月光,1.36%,半導體業,29.50%
矽品,0.92%,半導體業,29.50%
台積電,22.04%,半導體業,29.50%
聯發科,3.93%,半導體業,29.50%
光寶科技,0.93%,電腦及週邊設備業,6.56%
仁寶電腦,0.81%,電腦及週邊設備業,6.56%
宏碁,0.64%,電腦及週邊設備業,6.56%
華碩,2.34%,電腦及週邊設備業,6.56%
廣達,1.17%,電腦及週邊設備業,6.56%
緯創,0.67%,電腦及週邊設備業,6.56%
友達,0.97%,光電業,4.21%
大立光,0.72%,光電業,4.21%
群創光電,1.10%,光電業,4.21%
TPK-KY,1.42%,光電業,4.21%
中華電,3.23%,通信網路業,7.48%
宏達電,1.68%,通信網路業,7.48%
台灣大,1.56%,通信網路業,7.48%
遠傳,1.01%,通信網路業,7.48%
台達電,2.37%,電子零組件業,2.37%
聯強國際,0.65%,電子通路業,0.65%
鴻海,7.86%,其他電子業,9.45%
鴻準,0.73%,其他電子業,9.45%
可成科技,0.86%,其他電子業,9.45%
