name,share1,industry,share2
台塑,3.62%,塑膠工業,9.78%
南亞塑膠,3.45%,塑膠工業,9.78%
台化,2.71%,塑膠工業,9.78%
遠東新,0.90%,紡織纖維,0.90%
中鋼,3.10%,鋼鐵工業,3.10%
裕隆汽車,0.41%,汽車工業,0.41%
奇美電子,2.25%,電子工業,2.75%
廣輝下市,0.50%,電子工業,2.75%
長榮海運,0.35%,航運業,0.83%
陽明海運,0.29%,航運業,0.83%
華航,0.19%,航運業,0.83%
彰化銀行,0.82%,金融保險業,20.56%
華南金,1.30%,金融保險業,20.56%
富邦金,2.14%,金融保險業,20.56%
國泰金,3.17%,金融保險業,20.56%
開發金,1.60%,金融保險業,20.56%
玉山金控,0.61%,金融保險業,20.56%
兆豐金,2.69%,金融保險業,20.56%
台新金控,1.18%,金融保險業,20.56%
新光金,1.05%,金融保險業,20.56%
永豐金控,1.52%,金融保險業,20.56%
中信金,2.10%,金融保險業,20.56%
第一金控,1.31%,金融保險業,20.56%
合庫,0.26%,金融保險業,20.56%
元京證,0.81%,金融保險業,20.56%
寶成工業,0.69%,其他,0.69%
台塑石化,0.74%,油電燃氣業,0.74%
聯電,3.92%,半導體業,26.37%
日月光,1.35%,半導體業,26.37%
矽品,1.25%,半導體業,26.37%
台積電,15.23%,半導體業,26.37%
南亞科,0.46%,半導體業,26.37%
聯發科,3.13%,半導體業,26.37%
聯詠,1.03%,半導體業,26.37%
光寶科技,1.51%,電腦及週邊設備業,9.96%
仁寶電腦,1.53%,電腦及週邊設備業,9.96%
佳世達,0.68%,電腦及週邊設備業,9.96%
宏碁,1.73%,電腦及週邊設備業,9.96%
華碩,3.40%,電腦及週邊設備業,9.96%
廣達,1.11%,電腦及週邊設備業,9.96%
友達,2.75%,光電業,3.41%
華映,0.66%,光電業,3.41%
中華電,3.04%,通信網路業,8.97%
宏達電,4.08%,通信網路業,8.97%
台灣大,0.91%,通信網路業,8.97%
遠傳,0.94%,通信網路業,8.97%
台達電,1.33%,電子零組件業,1.33%
鴻海,7.83%,其他電子業,10.13%
鴻準,1.50%,其他電子業,10.13%
可成科技,0.80%,其他電子業,10.13%
