name,share1,industry,share2
台泥,0.68%,水泥工業,1.28%
亞泥,0.60%,水泥工業,1.28%
統一,1.45%,食品工業,1.45%
台塑,4.12%,塑膠工業,10.68%
南亞塑膠,3.81%,塑膠工業,10.68%
台化,2.75%,塑膠工業,10.68%
遠東新,1.16%,紡織纖維,1.16%
中鋼,3.26%,鋼鐵工業,3.26%
奇美電子,1.57%,電子工業,1.57%
彰化銀行,0.62%,金融保險業,15.11%
華南金,0.83%,金融保險業,15.11%
富邦金,1.29%,金融保險業,15.11%
國泰金,2.90%,金融保險業,15.11%
開發金,1.15%,金融保險業,15.11%
玉山金控,0.35%,金融保險業,15.11%
元大金,1.02%,金融保險業,15.11%
兆豐金,1.37%,金融保險業,15.11%
台新金控,0.65%,金融保險業,15.11%
新光金,0.93%,金融保險業,15.11%
永豐金控,0.86%,金融保險業,15.11%
中信金,1.61%,金融保險業,15.11%
第一金控,0.85%,金融保險業,15.11%
合庫,0.68%,金融保險業,15.11%
統一超,0.27%,貿易百貨,0.27%
寶成工業,0.64%,其他,0.64%
台塑石化,0.79%,油電燃氣業,0.79%
聯電,2.21%,半導體業,23.40%
日月光,1.17%,半導體業,23.40%
矽品,1.76%,半導體業,23.40%
台積電,13.25%,半導體業,23.40%
南亞科,0.61%,半導體業,23.40%
聯發科,3.67%,半導體業,23.40%
聯詠,0.47%,半導體業,23.40%
華亞科,0.26%,半導體業,23.40%
光寶科技,0.86%,電腦及週邊設備業,6.68%
仁寶電腦,1.13%,電腦及週邊設備業,6.68%
宏碁,1.11%,電腦及週邊設備業,6.68%
華碩,2.87%,電腦及週邊設備業,6.68%
廣達,0.71%,電腦及週邊設備業,6.68%
友達,3.58%,光電業,6.34%
群創光電,2.76%,光電業,6.34%
中華電,2.52%,通信網路業,6.13%
宏達電,2.18%,通信網路業,6.13%
台灣大,0.81%,通信網路業,6.13%
遠傳,0.62%,通信網路業,6.13%
台達電,1.58%,電子零組件業,1.97%
南電,0.39%,電子零組件業,1.97%
鴻海,12.31%,其他電子業,15.30%
鴻準,2.23%,其他電子業,15.30%
可成科技,0.76%,其他電子業,15.30%
