name,share1,industry,share2
台泥,0.76%,水泥工業,1.24%
亞泥,0.48%,水泥工業,1.24%
統一,2.27%,食品工業,2.27%
台塑,2.82%,塑膠工業,8.02%
南亞塑膠,2.57%,塑膠工業,8.02%
台化,2.63%,塑膠工業,8.02%
遠東新,0.71%,紡織纖維,1.17%
儒鴻,0.46%,紡織纖維,1.17%
中鋼,1.92%,鋼鐵工業,1.92%
正新,0.92%,橡膠工業,0.92%
和泰汽車,0.95%,汽車工業,0.95%
彰銀,0.66%,金融保險業,15.84%
華南金,0.92%,金融保險業,15.84%
富邦金,2.02%,金融保險業,15.84%
國泰金,2.05%,金融保險業,15.84%
開發金,0.81%,金融保險業,15.84%
玉山金,1.06%,金融保險業,15.84%
元大金,0.89%,金融保險業,15.84%
兆豐金,1.94%,金融保險業,15.84%
台新金,0.77%,金融保險業,15.84%
永豐金控,0.66%,金融保險業,15.84%
中信金,2.09%,金融保險業,15.84%
第一金,1.13%,金融保險業,15.84%
合庫,0.84%,金融保險業,15.84%
統一超,1.04%,貿易百貨,1.04%
寶成工業,0.84%,其他,0.84%
台塑石化,0.92%,油電燃氣業,0.92%
聯電,1.11%,半導體業,35.59%
日月光,1.69%,半導體業,35.59%
矽品,0.80%,半導體業,35.59%
台積電,28.80%,半導體業,35.59%
南亞科,0.12%,半導體業,35.59%
聯發科,2.63%,半導體業,35.59%
華亞科,0.44%,半導體業,35.59%
光寶科技,0.69%,電腦及週邊設備業,5.47%
仁寶電腦,0.63%,電腦及週邊設備業,5.47%
華碩,1.38%,電腦及週邊設備業,5.47%
廣達,1.19%,電腦及週邊設備業,5.47%
研華,0.61%,電腦及週邊設備業,5.47%
和碩,0.97%,電腦及週邊設備業,5.47%
友達,0.72%,光電業,3.60%
大立光,2.19%,光電業,3.60%
群創光電,0.69%,光電業,3.60%
中華電,3.27%,通信網路業,5.58%
台灣大,1.39%,通信網路業,5.58%
遠傳,0.92%,通信網路業,5.58%
台達電,2.52%,電子零組件業,2.52%
鴻海,8.30%,其他電子業,10.21%
鴻準,0.61%,其他電子業,10.21%
可成科技,1.30%,其他電子業,10.21%
