name,share1,industry,share2
統一,0.88%,食品工業,0.88%
台塑,4.31%,塑膠工業,11.70%
南亞塑膠,3.95%,塑膠工業,11.70%
台化,3.44%,塑膠工業,11.70%
遠東新,1.13%,紡織纖維,1.13%
大同,0.82%,電機機械,0.82%
華新,0.83%,電器電纜,0.83%
中鋼,4.12%,鋼鐵工業,4.12%
裕隆汽車,0.60%,汽車工業,1.02%
中華汽車,0.42%,汽車工業,1.02%
奇美電子,1.90%,電子工業,2.75%
廣輝下市,0.85%,電子工業,2.75%
長榮海運,0.58%,航運業,1.36%
陽明海運,0.53%,航運業,1.36%
華航,0.25%,航運業,1.36%
彰化銀行,1.23%,金融保險業,26.00%
華南金,1.76%,金融保險業,26.00%
富邦金,3.14%,金融保險業,26.00%
國泰金,4.19%,金融保險業,26.00%
開發金,2.69%,金融保險業,26.00%
兆豐金,2.90%,金融保險業,26.00%
台新金控,1.98%,金融保險業,26.00%
新光金,0.70%,金融保險業,26.00%
永豐金控,1.14%,金融保險業,26.00%
中信金,3.43%,金融保險業,26.00%
第一金控,1.76%,金融保險業,26.00%
元京證,1.08%,金融保險業,26.00%
統一超,0.29%,貿易百貨,0.29%
寶成工業,0.92%,其他,0.92%
台塑石化,0.82%,油電燃氣業,0.82%
聯電,4.24%,半導體業,23.31%
日月光,1.15%,半導體業,23.31%
矽品,0.86%,半導體業,23.31%
台積電,13.76%,半導體業,23.31%
華邦電,0.64%,半導體業,23.31%
南亞科,0.72%,半導體業,23.31%
聯發科,1.94%,半導體業,23.31%
光寶科技,1.32%,電腦及週邊設備業,9.54%
仁寶電腦,1.64%,電腦及週邊設備業,9.54%
佳世達,0.98%,電腦及週邊設備業,9.54%
宏碁,1.71%,電腦及週邊設備業,9.54%
華碩,2.51%,電腦及週邊設備業,9.54%
廣達,1.38%,電腦及週邊設備業,9.54%
中環,0.83%,光電業,4.63%
友達,2.65%,光電業,4.63%
華映,1.15%,光電業,4.63%
中華電,1.87%,通信網路業,3.12%
台灣大,1.25%,通信網路業,3.12%
台達電,1.03%,電子零組件業,1.03%
鴻海,5.53%,其他電子業,5.53%
