name,share1,industry,share2
台泥,1.28%,水泥工業,2.05%
亞泥,0.77%,水泥工業,2.05%
統一,1.45%,食品工業,1.45%
台塑,5.15%,塑膠工業,13.75%
南亞,4.89%,塑膠工業,13.75%
台化,3.71%,塑膠工業,13.75%
遠東新,1.30%,紡織纖維,1.30%
中鋼,2.85%,鋼鐵工業,2.85%
正新,1.04%,橡膠工業,1.04%
長榮航,0.35%,航運業,0.35%
彰銀,0.69%,金融保險業,15.83%
華南金,0.90%,金融保險業,15.83%
富邦金,2.30%,金融保險業,15.83%
國泰金,2.77%,金融保險業,15.83%
開發金,1.05%,金融保險業,15.83%
元大金,1.31%,金融保險業,15.83%
兆豐金,1.71%,金融保險業,15.83%
新光金,0.57%,金融保險業,15.83%
永豐金,0.70%,金融保險業,15.83%
中信金,2.03%,金融保險業,15.83%
第一金,0.94%,金融保險業,15.83%
合庫,0.86%,金融保險業,15.83%
統一超,1.05%,貿易百貨,1.05%
台肥,0.53%,化學工業,0.53%
台塑石化,1.56%,油電燃氣業,1.56%
聯電,1.50%,半導體業,21.46%
日月光,1.16%,半導體業,21.46%
矽品,0.94%,半導體業,21.46%
台積電,15.09%,半導體業,21.46%
聯發科,2.77%,半導體業,21.46%
光寶,0.70%,電腦及週邊設備業,6.89%
仁寶,1.26%,電腦及週邊設備業,6.89%
宏碁,1.10%,電腦及週邊設備業,6.89%
華碩,1.43%,電腦及週邊設備業,6.89%
廣達,1.59%,電腦及週邊設備業,6.89%
緯創,0.81%,電腦及週邊設備業,6.89%
友達,1.40%,光電業,5.15%
晶電,0.59%,光電業,5.15%
大立光,0.75%,光電業,5.15%
群創光電,1.22%,光電業,5.15%
TPK-KY,1.19%,光電業,5.15%
中華電,3.05%,通信網路業,11.20%
宏達電,6.38%,通信網路業,11.20%
台灣大,1.18%,通信網路業,11.20%
遠傳,0.59%,通信網路業,11.20%
台達電,1.53%,電子零組件業,1.53%
聯強,0.87%,電子通路業,0.87%
鴻海,7.73%,其他電子業,9.54%
鴻準,1.07%,其他電子業,9.54%
可成,0.74%,其他電子業,9.54%
