name,share1,industry,share2
台泥,1.06%,水泥工業,1.80%
亞泥,0.74%,水泥工業,1.80%
統一,2.16%,食品工業,2.16%
台塑,3.06%,塑膠工業,9.07%
南亞塑膠,3.20%,塑膠工業,9.07%
台化,2.81%,塑膠工業,9.07%
遠東新,1.10%,紡織纖維,1.10%
中鋼,2.66%,鋼鐵工業,2.66%
正新,1.36%,橡膠工業,1.36%
裕隆汽車,0.37%,汽車工業,1.56%
和泰汽車,1.19%,汽車工業,1.56%
F-晨星,0.54%,電子工業,0.54%
彰銀,0.43%,金融保險業,15.92%
華南金,0.97%,金融保險業,15.92%
富邦金,2.48%,金融保險業,15.92%
國泰金,2.53%,金融保險業,15.92%
開發金,1.07%,金融保險業,15.92%
玉山金,0.75%,金融保險業,15.92%
元大金,1.34%,金融保險業,15.92%
兆豐金,1.60%,金融保險業,15.92%
永豐金,0.89%,金融保險業,15.92%
中信金,2.02%,金融保險業,15.92%
第一金,1.02%,金融保險業,15.92%
合庫,0.82%,金融保險業,15.92%
統一超,0.99%,貿易百貨,0.99%
台肥,0.48%,化學工業,0.48%
台塑石化,1.30%,油電燃氣業,1.30%
聯電,1.59%,半導體業,31.71%
日月光,1.36%,半導體業,31.71%
矽品,1.00%,半導體業,31.71%
台積電,23.84%,半導體業,31.71%
聯發科,3.92%,半導體業,31.71%
光寶科技,0.99%,電腦及週邊設備業,5.60%
仁寶電腦,0.63%,電腦及週邊設備業,5.60%
宏碁,0.51%,電腦及週邊設備業,5.60%
華碩,1.65%,電腦及週邊設備業,5.60%
廣達,1.12%,電腦及週邊設備業,5.60%
和碩,0.70%,電腦及週邊設備業,5.60%
友達,0.85%,光電業,3.77%
大立光,0.87%,光電業,3.77%
群創光電,0.98%,光電業,3.77%
TPK-KY,1.07%,光電業,3.77%
中華電,3.48%,通信網路業,8.02%
宏達電,1.61%,通信網路業,8.02%
台灣大,1.78%,通信網路業,8.02%
遠傳,1.15%,通信網路業,8.02%
台達電,2.48%,電子零組件業,2.48%
鴻海,6.83%,其他電子業,8.43%
鴻準,0.63%,其他電子業,8.43%
可成科技,0.97%,其他電子業,8.43%
